,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
88,14,8,14,11,Dartmouth,14,Air Force,14,/teams/events/match_report/?EventGameId=wyMlAQIyec%2bCerjurmDmRjlxkUGoWc2d43Cxusl8Ioc%3d
89,11,8,11,14,Air Force,11,Dartmouth,18,/teams/events/match_report/?EventGameId=wyMlAQIyec%2bCerjurmDmRjlxkUGoWc2d43Cxusl8Ioc%3d
90,14,8,14,11,Dartmouth,14,Air Force,14,/teams/events/match_report/?EventGameId=wyMlAQIyec%2bCerjurmDmRjlxkUGoWc2d43Cxusl8Ioc%3d
91,11,8,11,14,Air Force,11,Dartmouth,18,/teams/events/match_report/?EventGameId=wyMlAQIyec%2bCerjurmDmRjlxkUGoWc2d43Cxusl8Ioc%3d
92,15,6,15,9,Occidental,15,Alabama-Huntsville,15,/teams/events/match_report/?EventGameId=VbR3cudgdaMy834GyXOG6Jp2PxKggm15D33b1PMT2I4%3d
93,9,5,7,15,Alabama-Huntsville,9,Occidental,13,/teams/events/match_report/?EventGameId=VbR3cudgdaMy834GyXOG6Jp2PxKggm15D33b1PMT2I4%3d
94,15,6,15,9,Occidental,15,Alabama-Huntsville,15,/teams/events/match_report/?EventGameId=VbR3cudgdaMy834GyXOG6Jp2PxKggm15D33b1PMT2I4%3d
95,9,5,7,15,Alabama-Huntsville,9,Occidental,13,/teams/events/match_report/?EventGameId=VbR3cudgdaMy834GyXOG6Jp2PxKggm15D33b1PMT2I4%3d
96,12,5,11,15,Richmond,12,Davidson,22,/teams/events/match_report/?EventGameId=4cchkQpVaDaXfH5WN4TzAtQZRYRa%2b%2fw8TYrBsOpaxxs%3d
97,14,8,15,12,Davidson,15,Richmond,17,/teams/events/match_report/?EventGameId=4cchkQpVaDaXfH5WN4TzAtQZRYRa%2b%2fw8TYrBsOpaxxs%3d
98,13,8,13,9,Alabama-Huntsville,13,Davidson,19,/teams/events/match_report/?EventGameId=%2bK8LjGV1ZX1tkDfsXaElzQ%2b5jq2d7w1SWAILAKG5Tmw%3d
99,9,13,9,13,Davidson,9,Alabama-Huntsville,21,/teams/events/match_report/?EventGameId=%2bK8LjGV1ZX1tkDfsXaElzQ%2b5jq2d7w1SWAILAKG5Tmw%3d
100,11,7,12,10,Bryant,14,Richmond,13,/teams/events/match_report/?EventGameId=hHM6r%2bOUb1ehCOxu80Zc%2b4i8Ihd8X5z%2b67I4x3Sk0Dk%3d
101,9,7,10,14,Richmond,10,Bryant,21,/teams/events/match_report/?EventGameId=hHM6r%2bOUb1ehCOxu80Zc%2b4i8Ihd8X5z%2b67I4x3Sk0Dk%3d
102,7,4,7,15,Davidson,7,Wheaton (Illinois),14,/teams/events/match_report/?EventGameId=2KJdtnxpUAlaKLqR0n6rBpkg6A2mHq44pNCt7RudwDc%3d
103,13,8,14,7,Wheaton (Illinois),15,Davidson,6,/teams/events/match_report/?EventGameId=2KJdtnxpUAlaKLqR0n6rBpkg6A2mHq44pNCt7RudwDc%3d
104,11,8,11,14,Alabama-Huntsville,11,John Brown,18,/teams/events/match_report/?EventGameId=IwYZNKekSxok2m0%2fHqO8adSjXArzR5WyCPWPt82NvKY%3d
105,14,11,14,11,John Brown,14,Alabama-Huntsville,17,/teams/events/match_report/?EventGameId=IwYZNKekSxok2m0%2fHqO8adSjXArzR5WyCPWPt82NvKY%3d
106,8,7,8,15,Richmond,8,Dartmouth,18,/teams/events/match_report/?EventGameId=xXDoucjt3jCclc0Iz3g6UfPICHZmM0O%2fh6BC5VFAgRs%3d
107,12,5,13,8,Dartmouth,15,Richmond,10,/teams/events/match_report/?EventGameId=xXDoucjt3jCclc0Iz3g6UfPICHZmM0O%2fh6BC5VFAgRs%3d
108,12,13,12,10,Franciscan,12,Bryant,15,/teams/events/match_report/?EventGameId=YLgSVKyS109cVTzTgE5h9Oj2poZuOakR08%2bOXuMC4D8%3d
109,10,8,10,12,Bryant,10,Franciscan,16,/teams/events/match_report/?EventGameId=YLgSVKyS109cVTzTgE5h9Oj2poZuOakR08%2bOXuMC4D8%3d
