,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Score
0,2,Jesse Shofner,JESSE SHOFNER,1,1,3,3,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
1,3,Laetitia Guillet,LAETITIA GUILLET,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
2,4,Emily Loo,EMILY LOO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
3,5,Gabrielle Aufderheide,GABRIELLE AUFDERHEIDE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
4,6,Angela Tocchi,ANGELA TOCCHI,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
5,7,Alexandra Ode,ALEXANDRA ODE,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
6,8,Ashley Young,ASHLEY YOUNG,3,3,2,2,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
7,9,Olivia Bartruff,OLIVIA BARTRUFF,3,3,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
8,11,Bethany Kaylor,BETHANY KAYLOR,2,2,2,2,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
9,13,Amelia Lanning,AMELIA LANNING,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
10,14,Sarafina Angstadt-Leto,SARAFINA ANGSTADT-LETO,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
11,19,Lillian Weaver,LILLIAN WEAVER,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
12,20,Hope Zima,HOPE ZIMA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
13,22,Rachel Hershey,RACHEL HERSHEY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
14,24,Madison Lostra,MADISON LOSTRA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
15,25,Foley Galvin,FOLEY GALVIN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
16,27,Hayley Wahlroos,HAYLEY WAHLROOS,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
17,42,Jaydra Rotolante,JAYDRA ROTOLANTE,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
18,43,Ella Hansen,ELLA HANSEN,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
19,44,Kaitlin Brunik,KAITLIN BRUNIK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d,Oregon,1,15,10
