,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
41,5,4,5,15,Pittsburgh,5,Connecticut,19,/teams/events/match_report/?EventGameId=pgICUFFfqD%2fCDE5KEmCmwXwmfvZ1qqXb1HT5WFfNDQM%3d
42,15,9,15,5,Connecticut,15,Pittsburgh,9,/teams/events/match_report/?EventGameId=pgICUFFfqD%2fCDE5KEmCmwXwmfvZ1qqXb1HT5WFfNDQM%3d
43,5,4,5,15,Pittsburgh,5,Connecticut,19,/teams/events/match_report/?EventGameId=pgICUFFfqD%2fCDE5KEmCmwXwmfvZ1qqXb1HT5WFfNDQM%3d
44,15,8,15,7,Texas A&M,15,Michigan,18,/teams/events/match_report/?EventGameId=Bz%2fLF1N2%2fsw2NBUgm8AULdzo1jO1ENNFKAJ%2fjetqH4M%3d
45,7,4,7,15,Michigan,7,Texas A&M,25,/teams/events/match_report/?EventGameId=Bz%2fLF1N2%2fsw2NBUgm8AULdzo1jO1ENNFKAJ%2fjetqH4M%3d
46,15,8,15,7,Texas A&M,15,Michigan,18,/teams/events/match_report/?EventGameId=Bz%2fLF1N2%2fsw2NBUgm8AULdzo1jO1ENNFKAJ%2fjetqH4M%3d
47,7,4,7,15,Michigan,7,Texas A&M,25,/teams/events/match_report/?EventGameId=Bz%2fLF1N2%2fsw2NBUgm8AULdzo1jO1ENNFKAJ%2fjetqH4M%3d
48,15,10,15,8,Michigan,15,Pittsburgh,16,/teams/events/match_report/?EventGameId=r%2bHpC%2bbRxT1fDQwD2ui%2bx9DCc1wQ%2f9WA6WV%2fIC6Wr34%3d
49,8,10,8,15,Pittsburgh,8,Michigan,22,/teams/events/match_report/?EventGameId=r%2bHpC%2bbRxT1fDQwD2ui%2bx9DCc1wQ%2f9WA6WV%2fIC6Wr34%3d
50,15,10,15,8,Michigan,15,Pittsburgh,16,/teams/events/match_report/?EventGameId=r%2bHpC%2bbRxT1fDQwD2ui%2bx9DCc1wQ%2f9WA6WV%2fIC6Wr34%3d
51,8,10,8,15,Pittsburgh,8,Michigan,22,/teams/events/match_report/?EventGameId=r%2bHpC%2bbRxT1fDQwD2ui%2bx9DCc1wQ%2f9WA6WV%2fIC6Wr34%3d
52,15,12,15,8,Texas A&M,15,North Carolina-Wilmington,18,/teams/events/match_report/?EventGameId=cfzq9V%2bcg%2fJdyJKDjhB%2fpMZpnPhaG49%2fSo7f9YSTa%2fk%3d
53,8,7,8,15,North Carolina-Wilmington,8,Texas A&M,24,/teams/events/match_report/?EventGameId=cfzq9V%2bcg%2fJdyJKDjhB%2fpMZpnPhaG49%2fSo7f9YSTa%2fk%3d
54,15,12,15,8,Texas A&M,15,North Carolina-Wilmington,18,/teams/events/match_report/?EventGameId=cfzq9V%2bcg%2fJdyJKDjhB%2fpMZpnPhaG49%2fSo7f9YSTa%2fk%3d
55,8,7,8,15,North Carolina-Wilmington,8,Texas A&M,24,/teams/events/match_report/?EventGameId=cfzq9V%2bcg%2fJdyJKDjhB%2fpMZpnPhaG49%2fSo7f9YSTa%2fk%3d
56,15,6,15,12,Connecticut,15,North Carolina-Wilmington,21,/teams/events/match_report/?EventGameId=%2bOkPGvQikUB0sDKJEU%2fmLzsx%2fXjXPSdlS3NlikP8obo%3d
57,12,6,12,15,North Carolina-Wilmington,12,Connecticut,19,/teams/events/match_report/?EventGameId=%2bOkPGvQikUB0sDKJEU%2fmLzsx%2fXjXPSdlS3NlikP8obo%3d
58,15,6,15,12,Connecticut,15,North Carolina-Wilmington,21,/teams/events/match_report/?EventGameId=%2bOkPGvQikUB0sDKJEU%2fmLzsx%2fXjXPSdlS3NlikP8obo%3d
59,12,6,12,15,North Carolina-Wilmington,12,Connecticut,19,/teams/events/match_report/?EventGameId=%2bOkPGvQikUB0sDKJEU%2fmLzsx%2fXjXPSdlS3NlikP8obo%3d
60,13,3,13,15,North Carolina-Wilmington,13,Pittsburgh,16,/teams/events/match_report/?EventGameId=Rt0DzkvMb%2fwcumB%2bUSigmdkpkQtA1M6hdNhBoXlcXWM%3d
61,15,7,15,13,Pittsburgh,15,North Carolina-Wilmington,14,/teams/events/match_report/?EventGameId=Rt0DzkvMb%2fwcumB%2bUSigmdkpkQtA1M6hdNhBoXlcXWM%3d
62,13,3,13,15,North Carolina-Wilmington,13,Pittsburgh,16,/teams/events/match_report/?EventGameId=Rt0DzkvMb%2fwcumB%2bUSigmdkpkQtA1M6hdNhBoXlcXWM%3d
63,15,7,15,13,Pittsburgh,15,North Carolina-Wilmington,14,/teams/events/match_report/?EventGameId=Rt0DzkvMb%2fwcumB%2bUSigmdkpkQtA1M6hdNhBoXlcXWM%3d
64,13,11,13,13,Connecticut,14,Michigan,23,/teams/events/match_report/?EventGameId=TYHdQnqp6%2bR51roUaBcAc%2fUETyYOsv%2bdOUkga8UIiqQ%3d
65,14,7,14,14,Michigan,13,Connecticut,20,/teams/events/match_report/?EventGameId=TYHdQnqp6%2bR51roUaBcAc%2fUETyYOsv%2bdOUkga8UIiqQ%3d
66,13,11,13,13,Connecticut,14,Michigan,23,/teams/events/match_report/?EventGameId=TYHdQnqp6%2bR51roUaBcAc%2fUETyYOsv%2bdOUkga8UIiqQ%3d
67,14,7,14,14,Michigan,13,Connecticut,20,/teams/events/match_report/?EventGameId=TYHdQnqp6%2bR51roUaBcAc%2fUETyYOsv%2bdOUkga8UIiqQ%3d
68,14,12,14,11,Connecticut,14,Texas A&M,20,/teams/events/match_report/?EventGameId=tHllTYNsR7p7cANsmFYV29l1UyG2MT2cS4OfTUvS1ok%3d
69,11,6,11,14,Texas A&M,11,Connecticut,24,/teams/events/match_report/?EventGameId=tHllTYNsR7p7cANsmFYV29l1UyG2MT2cS4OfTUvS1ok%3d
70,14,12,14,11,Connecticut,14,Texas A&M,20,/teams/events/match_report/?EventGameId=tHllTYNsR7p7cANsmFYV29l1UyG2MT2cS4OfTUvS1ok%3d
71,11,6,11,14,Texas A&M,11,Connecticut,24,/teams/events/match_report/?EventGameId=tHllTYNsR7p7cANsmFYV29l1UyG2MT2cS4OfTUvS1ok%3d
72,8,6,8,15,North Carolina-Wilmington,7,Michigan,23,/teams/events/match_report/?EventGameId=x%2b%2bii14V1nqibamYqSasSScbp%2fqz5IHuZZMqE%2fI8%2fsI%3d
73,14,10,14,7,Michigan,15,North Carolina-Wilmington,16,/teams/events/match_report/?EventGameId=x%2b%2bii14V1nqibamYqSasSScbp%2fqz5IHuZZMqE%2fI8%2fsI%3d
74,8,6,8,15,North Carolina-Wilmington,7,Michigan,23,/teams/events/match_report/?EventGameId=x%2b%2bii14V1nqibamYqSasSScbp%2fqz5IHuZZMqE%2fI8%2fsI%3d
75,14,10,14,7,Michigan,15,North Carolina-Wilmington,16,/teams/events/match_report/?EventGameId=x%2b%2bii14V1nqibamYqSasSScbp%2fqz5IHuZZMqE%2fI8%2fsI%3d
