,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,12,6,13,12,Prairie Fire,14,Ironside,13,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d
1,12,1,12,14,Ironside,12,Prairie Fire,13,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d
2,13,7,13,12,Ring of Fire,13,PoNY,22,/teams/events/match_report/?EventGameId=j5kZI7xoQZnFBFiqjMJ3R8BxbKAROgMg%2bSWAohU8CoI%3d
3,12,6,12,13,PoNY,12,Ring of Fire,21,/teams/events/match_report/?EventGameId=j5kZI7xoQZnFBFiqjMJ3R8BxbKAROgMg%2bSWAohU8CoI%3d
4,13,8,14,7,Ring of Fire,14,Ironside,17,/teams/events/match_report/?EventGameId=ifs5BPibph5Pm4WfXpGQKvpUnUocHJv6HzCyEgE2Pl0%3d
5,7,2,7,14,Ironside,7,Ring of Fire,12,/teams/events/match_report/?EventGameId=ifs5BPibph5Pm4WfXpGQKvpUnUocHJv6HzCyEgE2Pl0%3d
6,15,7,15,12,Prairie Fire,15,PoNY,19,/teams/events/match_report/?EventGameId=Tos6ntIajxXYulfR8vxy%2fWpNe7sNxYSr1%2b7Ihn%2bk3iQ%3d
7,12,10,12,15,PoNY,12,Prairie Fire,22,/teams/events/match_report/?EventGameId=Tos6ntIajxXYulfR8vxy%2fWpNe7sNxYSr1%2b7Ihn%2bk3iQ%3d
8,14,5,14,10,PoNY,14,Ironside,17,/teams/events/match_report/?EventGameId=ri1ntTnF7idKO8UGmKjDap%2fmxxz3ZiNNnjKFlAqCaro%3d
9,10,9,10,14,Ironside,10,PoNY,16,/teams/events/match_report/?EventGameId=ri1ntTnF7idKO8UGmKjDap%2fmxxz3ZiNNnjKFlAqCaro%3d
10,10,4,10,13,Ring of Fire,10,Prairie Fire,25,/teams/events/match_report/?EventGameId=GWP8ariTiVygbzzQKO7XMCA9gDyg06cflpxPfx0ynoM%3d
11,13,4,13,10,Prairie Fire,13,Ring of Fire,23,/teams/events/match_report/?EventGameId=GWP8ariTiVygbzzQKO7XMCA9gDyg06cflpxPfx0ynoM%3d
12,14,4,14,8,Patrol,15,Revolver,9,/teams/events/match_report/?EventGameId=8oU8eMUyXNpVbf0cBAwfMNyjue8HiwjIfaIJ1dkb%2fPU%3d
13,9,7,9,15,Revolver,8,Patrol,15,/teams/events/match_report/?EventGameId=8oU8eMUyXNpVbf0cBAwfMNyjue8HiwjIfaIJ1dkb%2fPU%3d
14,15,8,15,7,Doublewide,15,Sockeye,14,/teams/events/match_report/?EventGameId=MteQ5%2bPikVb1o%2bG7scfABVF9LLKYk2imbaOCFS1AUYo%3d
15,7,4,7,15,Sockeye,7,Doublewide,21,/teams/events/match_report/?EventGameId=MteQ5%2bPikVb1o%2bG7scfABVF9LLKYk2imbaOCFS1AUYo%3d
16,14,12,15,2,Doublewide,15,Revolver,21,/teams/events/match_report/?EventGameId=mwltUuf3Wc2MPg%2bIDOhJtgknoTr3GsfsoSNBel4nZc0%3d
17,2,4,2,15,Revolver,2,Doublewide,33,/teams/events/match_report/?EventGameId=mwltUuf3Wc2MPg%2bIDOhJtgknoTr3GsfsoSNBel4nZc0%3d
18,15,6,15,7,Patrol,15,Sockeye,23,/teams/events/match_report/?EventGameId=UUAqcg2CF6r%2fQTwsOKpsHn39HdTP%2bLoIx2GsDULgPk8%3d
19,7,4,7,15,Sockeye,7,Patrol,27,/teams/events/match_report/?EventGameId=UUAqcg2CF6r%2fQTwsOKpsHn39HdTP%2bLoIx2GsDULgPk8%3d
20,15,2,15,15,Sockeye,16,Revolver,11,/teams/events/match_report/?EventGameId=ApPuBD8DqHAPBjP%2f7BtWcLvq%2blmfhG0YOZLtm7NUT%2bw%3d
21,15,2,15,16,Revolver,15,Sockeye,15,/teams/events/match_report/?EventGameId=ApPuBD8DqHAPBjP%2f7BtWcLvq%2blmfhG0YOZLtm7NUT%2bw%3d
22,13,6,13,15,Doublewide,13,Patrol,20,/teams/events/match_report/?EventGameId=rSDC8IdcCobwGu7oNnw%2fIvZXNd18mgJqg3eXQeR%2fLtE%3d
23,15,4,15,13,Patrol,15,Doublewide,18,/teams/events/match_report/?EventGameId=rSDC8IdcCobwGu7oNnw%2fIvZXNd18mgJqg3eXQeR%2fLtE%3d
24,14,11,14,12,HIGH FIVE,14,Truck Stop,26,/teams/events/match_report/?EventGameId=AFZWkbyrazu1CbIM9J9seLIgC6plP0nPHZBA9AWvfkM%3d
25,12,8,12,14,Truck Stop,12,HIGH FIVE,27,/teams/events/match_report/?EventGameId=AFZWkbyrazu1CbIM9J9seLIgC6plP0nPHZBA9AWvfkM%3d
26,14,1,14,10,Dig,15,Madison Club,5,/teams/events/match_report/?EventGameId=DK6%2bMzcbrdSBStiFrdseg1zvsOcCqDFbL%2bmiDeHOPhs%3d
27,10,3,10,15,Madison Club,10,Dig,8,/teams/events/match_report/?EventGameId=DK6%2bMzcbrdSBStiFrdseg1zvsOcCqDFbL%2bmiDeHOPhs%3d
28,12,13,12,6,Dig,12,Truck Stop,29,/teams/events/match_report/?EventGameId=ZPMVTeMA60kTy3zqsQoPNzM7DfM1ab%2bHgCLJTKd%2fTB4%3d
29,6,8,6,12,Truck Stop,6,Dig,32,/teams/events/match_report/?EventGameId=ZPMVTeMA60kTy3zqsQoPNzM7DfM1ab%2bHgCLJTKd%2fTB4%3d
30,7,10,8,8,HIGH FIVE,10,Madison Club,26,/teams/events/match_report/?EventGameId=s1Nftb8CPW1O7bJduPvYAOL21n09eK8bNp1zEP%2bUoy8%3d
31,8,11,7,10,Madison Club,8,HIGH FIVE,32,/teams/events/match_report/?EventGameId=s1Nftb8CPW1O7bJduPvYAOL21n09eK8bNp1zEP%2bUoy8%3d
32,12,7,12,11,Madison Club,12,Truck Stop,23,/teams/events/match_report/?EventGameId=VYryu75na6jAvWx3SEfEOZtk5yhQulgBDXy1vrxkZik%3d
33,11,8,10,12,Truck Stop,11,Madison Club,24,/teams/events/match_report/?EventGameId=VYryu75na6jAvWx3SEfEOZtk5yhQulgBDXy1vrxkZik%3d
34,7,4,7,11,Dig,7,HIGH FIVE,21,/teams/events/match_report/?EventGameId=JkLt%2bP6eVWwNac5xDJN0gURn59mXDwzpnBk9ibwAghY%3d
35,11,7,11,7,HIGH FIVE,11,Dig,21,/teams/events/match_report/?EventGameId=JkLt%2bP6eVWwNac5xDJN0gURn59mXDwzpnBk9ibwAghY%3d
36,15,11,15,13,H.I.P,15,Johnny Bravo,20,/teams/events/match_report/?EventGameId=t0Akr8%2bTl3pwVF0FDPShconf1RtxQIT9NT88LNk5jUY%3d
37,13,8,13,15,Johnny Bravo,13,H.I.P,21,/teams/events/match_report/?EventGameId=t0Akr8%2bTl3pwVF0FDPShconf1RtxQIT9NT88LNk5jUY%3d
38,13,4,14,10,Furious George,14,Chicago Machine,20,/teams/events/match_report/?EventGameId=nfkznnVMNxrFnMwHQweVj5d07Z5HkwwuZyRmyQhR%2fak%3d
39,10,9,10,14,Chicago Machine,10,Furious George,25,/teams/events/match_report/?EventGameId=nfkznnVMNxrFnMwHQweVj5d07Z5HkwwuZyRmyQhR%2fak%3d
40,15,6,14,10,Furious George,15,Johnny Bravo,18,/teams/events/match_report/?EventGameId=hUrRfs8SfaeGK6k1xFmZYO39igmMlVvErN94e8WXQ5A%3d
41,9,9,10,15,Johnny Bravo,10,Furious George,23,/teams/events/match_report/?EventGameId=hUrRfs8SfaeGK6k1xFmZYO39igmMlVvErN94e8WXQ5A%3d
42,15,7,15,13,H.I.P,15,Chicago Machine,16,/teams/events/match_report/?EventGameId=SR%2fIkbeLAkRWfsnddG4D47l0VscWVMXWiGyh2L%2bGNuM%3d
43,11,3,13,15,Chicago Machine,13,H.I.P,16,/teams/events/match_report/?EventGameId=SR%2fIkbeLAkRWfsnddG4D47l0VscWVMXWiGyh2L%2bGNuM%3d
44,15,3,15,12,Chicago Machine,15,Johnny Bravo,11,/teams/events/match_report/?EventGameId=S21WqZkcXsfaL9rVa7Y2dcsl5HJ9CJZHLdE%2fKp7a9oY%3d
45,12,9,12,15,Johnny Bravo,12,Chicago Machine,15,/teams/events/match_report/?EventGameId=S21WqZkcXsfaL9rVa7Y2dcsl5HJ9CJZHLdE%2fKp7a9oY%3d
46,10,7,10,15,Furious George,10,H.I.P,20,/teams/events/match_report/?EventGameId=O6rtQ4BLMfC4sDB1bvUd3wZtWqg1V10AWk6EmVvFD84%3d
47,15,6,15,10,H.I.P,15,Furious George,16,/teams/events/match_report/?EventGameId=O6rtQ4BLMfC4sDB1bvUd3wZtWqg1V10AWk6EmVvFD84%3d
48,14,2,14,13,Revolver,14,Ironside,4,/teams/events/match_report/?EventGameId=ejnp5ziH7kM53XJpCl8JP%2bM9kcC5y9jEsmUyae2YnIs%3d
49,13,3,13,14,Ironside,13,Revolver,5,/teams/events/match_report/?EventGameId=ejnp5ziH7kM53XJpCl8JP%2bM9kcC5y9jEsmUyae2YnIs%3d
50,15,6,15,11,Johnny Bravo,15,Ironside,8,/teams/events/match_report/?EventGameId=x2w1s6JOITA4KsBrBgofE48IUU2qb0U%2fOveZvEY%2bbsY%3d
51,11,2,11,15,Ironside,11,Johnny Bravo,12,/teams/events/match_report/?EventGameId=x2w1s6JOITA4KsBrBgofE48IUU2qb0U%2fOveZvEY%2bbsY%3d
52,12,3,12,13,Revolver,12,Ring of Fire,11,/teams/events/match_report/?EventGameId=dLyLLw%2fTN6ZK25Swpo6WfsOys4JqIIS1BW2mX3s8tB4%3d
53,13,4,12,12,Ring of Fire,13,Revolver,10,/teams/events/match_report/?EventGameId=dLyLLw%2fTN6ZK25Swpo6WfsOys4JqIIS1BW2mX3s8tB4%3d
54,13,4,13,8,Sockeye,13,Ironside,8,/teams/events/match_report/?EventGameId=W2cj3e74a0UAaBqdNFh8CE9Zu5y5JrIE8C59HkFhu5c%3d
55,8,5,8,13,Ironside,8,Sockeye,13,/teams/events/match_report/?EventGameId=W2cj3e74a0UAaBqdNFh8CE9Zu5y5JrIE8C59HkFhu5c%3d
56,12,3,12,15,Johnny Bravo,12,Doublewide,8,/teams/events/match_report/?EventGameId=V2O3RO%2b%2b%2ba0BSWeNB3FsS6XULlyEj%2bj9VbUFNg8ZnJk%3d
57,15,3,15,12,Doublewide,15,Johnny Bravo,5,/teams/events/match_report/?EventGameId=V2O3RO%2b%2b%2ba0BSWeNB3FsS6XULlyEj%2bj9VbUFNg8ZnJk%3d
58,8,7,8,13,Ring of Fire,8,Truck Stop,25,/teams/events/match_report/?EventGameId=ZOD6zkhKQlQ%2f0olsPdFfpYPaAm0wS2%2b3nLdIGSmjMqk%3d
59,13,4,13,8,Truck Stop,13,Ring of Fire,20,/teams/events/match_report/?EventGameId=ZOD6zkhKQlQ%2f0olsPdFfpYPaAm0wS2%2b3nLdIGSmjMqk%3d
60,9,2,9,15,Revolver,9,Furious George,15,/teams/events/match_report/?EventGameId=cHwRGh%2fD6opJ4kupaxARWC%2fOpcN2aNS%2f5GJTroyrWII%3d
61,15,5,14,9,Furious George,15,Revolver,9,/teams/events/match_report/?EventGameId=cHwRGh%2fD6opJ4kupaxARWC%2fOpcN2aNS%2f5GJTroyrWII%3d
62,14,10,14,13,Dig,14,Sockeye,12,/teams/events/match_report/?EventGameId=ifAttnXzH4Vbjciq2BUUZa%2fbhX3MpxKmFSkVxXqPVBM%3d
63,13,2,13,14,Sockeye,13,Dig,13,/teams/events/match_report/?EventGameId=ifAttnXzH4Vbjciq2BUUZa%2fbhX3MpxKmFSkVxXqPVBM%3d
64,15,4,15,10,Madison Club,15,Doublewide,8,/teams/events/match_report/?EventGameId=0dTM6KSJc091qY%2fzN88l717z7PD2OGgj3FzY4QIf2jQ%3d
65,10,1,10,15,Doublewide,10,Madison Club,12,/teams/events/match_report/?EventGameId=0dTM6KSJc091qY%2fzN88l717z7PD2OGgj3FzY4QIf2jQ%3d
66,11,5,11,15,Ring of Fire,11,Chicago Machine,11,/teams/events/match_report/?EventGameId=Dhz7DiLkCUW70GMk2R%2byx8DzVZIuFLN9%2fNSp6TOjMkU%3d
