,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
35,10,0,10,15,Ohio State,10,Middlebury,0,/teams/events/match_report/?EventGameId=L2pxDrs3KOhopPihbt5ABtgTMNQU9pK1LudCxNn46gY%3d
36,14,0,14,13,Washington,14,Dartmouth,0,/teams/events/match_report/?EventGameId=M%2fajWGmaT0dA2FvMV5etYW9KMC35LzHy%2bI7tG5nBGOM%3d
37,12,0,13,14,Dartmouth,13,Washington,0,/teams/events/match_report/?EventGameId=M%2fajWGmaT0dA2FvMV5etYW9KMC35LzHy%2bI7tG5nBGOM%3d
38,15,0,15,3,Ohio State,15,Stanford,0,/teams/events/match_report/?EventGameId=hcxKBzQBdhLzGaEcveZc1JjJ88Vh3P35bCFqNcUHp5E%3d
39,3,0,3,15,Stanford,3,Ohio State,0,/teams/events/match_report/?EventGameId=hcxKBzQBdhLzGaEcveZc1JjJ88Vh3P35bCFqNcUHp5E%3d
40,15,0,15,6,Pittsburgh,15,Carleton College,0,/teams/events/match_report/?EventGameId=KASbzr3t%2bYC05WCwt6vWenUmpSYGiA5plJPxmu7ro7I%3d
41,6,0,6,15,Carleton College,6,Pittsburgh,0,/teams/events/match_report/?EventGameId=KASbzr3t%2bYC05WCwt6vWenUmpSYGiA5plJPxmu7ro7I%3d
42,15,0,14,4,Texas,15,British Columbia,0,/teams/events/match_report/?EventGameId=iIJURgShhW9MlNzLxERg2QEzffa45x5DeHzCmSTPnms%3d
43,4,0,4,15,British Columbia,4,Texas,0,/teams/events/match_report/?EventGameId=iIJURgShhW9MlNzLxERg2QEzffa45x5DeHzCmSTPnms%3d
44,15,0,15,11,Carleton College,15,UCLA,0,/teams/events/match_report/?EventGameId=Pp950OoK4hy6%2fGJJqVqm1YoOYuCjZLsbgyVNqwcdL1s%3d
45,11,0,11,15,UCLA,11,Carleton College,0,/teams/events/match_report/?EventGameId=Pp950OoK4hy6%2fGJJqVqm1YoOYuCjZLsbgyVNqwcdL1s%3d
46,14,0,15,7,Pittsburgh,15,British Columbia,0,/teams/events/match_report/?EventGameId=1krCbqE%2fp0L7Mf%2bgebI2u7zrbfXy%2fDHhoimX1QV3Vpc%3d
47,7,0,6,15,British Columbia,7,Pittsburgh,0,/teams/events/match_report/?EventGameId=1krCbqE%2fp0L7Mf%2bgebI2u7zrbfXy%2fDHhoimX1QV3Vpc%3d
48,10,0,10,14,Texas,10,UCLA,0,/teams/events/match_report/?EventGameId=JrSN%2bvk5h9K%2bcimUv%2bjgSr3CY4grBfgUdgdzMmnQVlI%3d
49,14,0,14,10,UCLA,14,Texas,0,/teams/events/match_report/?EventGameId=JrSN%2bvk5h9K%2bcimUv%2bjgSr3CY4grBfgUdgdzMmnQVlI%3d
50,7,0,7,13,Texas,7,Pittsburgh,0,/teams/events/match_report/?EventGameId=rKxoVXNRQ7zNgY0xP2iMmNZgHAHe2nA9LJOvqdRmqQs%3d
51,13,0,13,7,Pittsburgh,13,Texas,0,/teams/events/match_report/?EventGameId=rKxoVXNRQ7zNgY0xP2iMmNZgHAHe2nA9LJOvqdRmqQs%3d
52,10,0,10,13,British Columbia,10,UCLA,0,/teams/events/match_report/?EventGameId=WTBPRzk59cSI7QIcNa8LBZwWxJ%2fnDXZvggJcbul7cbQ%3d
53,13,0,13,10,UCLA,13,British Columbia,0,/teams/events/match_report/?EventGameId=WTBPRzk59cSI7QIcNa8LBZwWxJ%2fnDXZvggJcbul7cbQ%3d
54,12,0,12,8,Texas,12,Carleton College,0,/teams/events/match_report/?EventGameId=7abJ15WA93kdYXlNOfOJIhokEvp2oXwka%2f7bRUG6bgA%3d
55,8,0,8,12,Carleton College,8,Texas,0,/teams/events/match_report/?EventGameId=7abJ15WA93kdYXlNOfOJIhokEvp2oXwka%2f7bRUG6bgA%3d
56,14,0,14,10,Pittsburgh,14,UCLA,0,/teams/events/match_report/?EventGameId=OqZttmvCEEDy%2bU9hP7lHF5MmK69GMD7OCMKPBOTFQi0%3d
57,10,0,10,14,UCLA,10,Pittsburgh,0,/teams/events/match_report/?EventGameId=OqZttmvCEEDy%2bU9hP7lHF5MmK69GMD7OCMKPBOTFQi0%3d
58,11,0,10,9,British Columbia,11,Carleton College,0,/teams/events/match_report/?EventGameId=h7ldKWx%2fWOR536ubzRvEHSOT7V5Y6z9VauJzKP8LgoA%3d
59,9,0,8,11,Carleton College,9,British Columbia,0,/teams/events/match_report/?EventGameId=h7ldKWx%2fWOR536ubzRvEHSOT7V5Y6z9VauJzKP8LgoA%3d
60,15,0,15,12,Kansas,15,Virginia,0,/teams/events/match_report/?EventGameId=zqjYPie8zNQIYoGAxvcNCFJy81vWXeWk19CpMlmhOeU%3d
61,12,0,12,15,Virginia,12,Kansas,0,/teams/events/match_report/?EventGameId=zqjYPie8zNQIYoGAxvcNCFJy81vWXeWk19CpMlmhOeU%3d
62,15,0,15,5,Princeton,15,Whitman,0,/teams/events/match_report/?EventGameId=0pbGWmtM13g%2bTVtqp533kHkdYLLWvdV3AVt%2b0fVYrcM%3d
63,5,0,5,15,Whitman,5,Princeton,0,/teams/events/match_report/?EventGameId=0pbGWmtM13g%2bTVtqp533kHkdYLLWvdV3AVt%2b0fVYrcM%3d
64,15,0,15,2,Princeton,15,Colorado,0,/teams/events/match_report/?EventGameId=ZAQyxHln7IUjXIq6G%2bZdx1g3kQMduAsAENy00yKmzNY%3d
65,2,0,2,15,Colorado,2,Princeton,0,/teams/events/match_report/?EventGameId=ZAQyxHln7IUjXIq6G%2bZdx1g3kQMduAsAENy00yKmzNY%3d
66,12,0,11,14,Kansas,12,Whitman,0,/teams/events/match_report/?EventGameId=33z8jRg6rX6bnubkHYXXPqQNx2uxR9aK9i2RBGci34M%3d
67,14,0,13,12,Whitman,14,Kansas,0,/teams/events/match_report/?EventGameId=33z8jRg6rX6bnubkHYXXPqQNx2uxR9aK9i2RBGci34M%3d
