,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
45,11,12,11,14,Notre Dame,11,Florida,32,/teams/events/match_report/?EventGameId=HcTqo7VTCrYQ5F7LYer5E44QFXP6ezpKy2C4iRNrXdY%3d
46,14,12,14,11,Florida,14,Notre Dame,27,/teams/events/match_report/?EventGameId=HcTqo7VTCrYQ5F7LYer5E44QFXP6ezpKy2C4iRNrXdY%3d
47,11,12,11,14,Notre Dame,11,Florida,32,/teams/events/match_report/?EventGameId=HcTqo7VTCrYQ5F7LYer5E44QFXP6ezpKy2C4iRNrXdY%3d
48,15,8,15,6,Notre Dame,15,Dartmouth,20,/teams/events/match_report/?EventGameId=kI5%2bnG6JeSNzLB7rZu1pZ6rq5yK4WoSGhE5GRNfxS5s%3d
49,6,7,6,15,Dartmouth,6,Notre Dame,26,/teams/events/match_report/?EventGameId=kI5%2bnG6JeSNzLB7rZu1pZ6rq5yK4WoSGhE5GRNfxS5s%3d
50,15,8,15,6,Notre Dame,15,Dartmouth,20,/teams/events/match_report/?EventGameId=kI5%2bnG6JeSNzLB7rZu1pZ6rq5yK4WoSGhE5GRNfxS5s%3d
51,6,7,6,15,Dartmouth,6,Notre Dame,26,/teams/events/match_report/?EventGameId=kI5%2bnG6JeSNzLB7rZu1pZ6rq5yK4WoSGhE5GRNfxS5s%3d
52,15,7,15,2,Florida,15,Oregon,16,/teams/events/match_report/?EventGameId=0EB3LVoHaNTGEUwteLXEAdplHOBeluL8H0nHaWyFZe8%3d
53,2,4,2,15,Oregon,2,Florida,23,/teams/events/match_report/?EventGameId=0EB3LVoHaNTGEUwteLXEAdplHOBeluL8H0nHaWyFZe8%3d
54,15,7,15,2,Florida,15,Oregon,16,/teams/events/match_report/?EventGameId=0EB3LVoHaNTGEUwteLXEAdplHOBeluL8H0nHaWyFZe8%3d
55,2,4,2,15,Oregon,2,Florida,23,/teams/events/match_report/?EventGameId=0EB3LVoHaNTGEUwteLXEAdplHOBeluL8H0nHaWyFZe8%3d
56,15,5,15,13,Delaware,15,Oregon,27,/teams/events/match_report/?EventGameId=fSj0Tv2RB9Z%2fvVJC36njDAM8mue%2fv0g1zKdca4BOgtg%3d
57,13,6,13,15,Oregon,13,Delaware,32,/teams/events/match_report/?EventGameId=fSj0Tv2RB9Z%2fvVJC36njDAM8mue%2fv0g1zKdca4BOgtg%3d
58,15,5,15,13,Delaware,15,Oregon,27,/teams/events/match_report/?EventGameId=fSj0Tv2RB9Z%2fvVJC36njDAM8mue%2fv0g1zKdca4BOgtg%3d
