,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
25,81,Charlie Mercer,CHARLIE MERCER,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
0,2,Audree Jeanne Beaudoin,AUDREE JEANNE BEAUDOIN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
1,3,Virginie Maltais,VIRGINIE MALTAIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
2,4,Marie Genest,MARIE GENEST,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
3,6,Andreane Bourgeois,ANDREANE BOURGEOIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
4,9,Emilie St-Pierre,EMILIE ST-PIERRE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
5,10,Jessie Grignon Tomas,JESSIE GRIGNON TOMAS,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
6,12,Alexandra Picard,ALEXANDRA PICARD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
7,13,Anouchka Beaudry,ANOUCHKA BEAUDRY,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
8,14,Kimberly Morin Coulombe,KIMBERLY MORIN COULOMBE,1,1,0,0,0,5,5,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
9,15,Shaunagh Howard,SHAUNAGH HOWARD,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
10,16,Marie-Ève Beauchemin,MARIE-ÈVE BEAUCHEMIN,1,1,0,0,1,4,4,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
11,17,Sabrina Beaudette,SABRINA BEAUDETTE,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
12,19,Genevieve Dufresne,GENEVIEVE DUFRESNE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
13,20,Marie-Helene Audet,MARIE-HELENE AUDET,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
14,22,Audrey St-Arnaud,AUDREY ST-ARNAUD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
15,23,Julie Daviau,JULIE DAVIAU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
16,25,Corine Masse,CORINE MASSE,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
17,26,Frederique Asselin,FREDERIQUE ASSELIN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
18,33,Julie Landry,JULIE LANDRY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Iris,12,3,Seattle Riot,1,15
