,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
36,14,9,14,7,AMP,15,Slow White,10,/teams/events/match_report/?EventGameId=4ULoULzf2DXQK71vWIxqjMRqde2fVtCCNnQ725Y7zbA%3d
37,7,6,8,15,Slow White,7,AMP,14,/teams/events/match_report/?EventGameId=4ULoULzf2DXQK71vWIxqjMRqde2fVtCCNnQ725Y7zbA%3d
38,10,4,10,11,UPA,10,Blackbird,15,/teams/events/match_report/?EventGameId=9E8U0xZRu58uGeGTWFuuiIcY%2f6mRsPQqk%2b3XKPNq%2bjs%3d
39,11,4,11,10,Blackbird,11,UPA,15,/teams/events/match_report/?EventGameId=9E8U0xZRu58uGeGTWFuuiIcY%2f6mRsPQqk%2b3XKPNq%2bjs%3d
40,10,6,10,15,UPA,10,Slow White,12,/teams/events/match_report/?EventGameId=%2b8FaL7fUZy%2b2FN%2bAdiPFWg%2b%2barNvQLbSpQ7Fpr%2flsVI%3d
41,14,2,15,10,Slow White,15,UPA,14,/teams/events/match_report/?EventGameId=%2b8FaL7fUZy%2b2FN%2bAdiPFWg%2b%2barNvQLbSpQ7Fpr%2flsVI%3d
42,11,5,11,10,AMP,11,Blackbird,12,/teams/events/match_report/?EventGameId=Gwxvem2%2bUHoD4hhy0F4vwNKfqDSGcH5Pe7FbG66IAyI%3d
43,10,4,10,11,Blackbird,10,AMP,13,/teams/events/match_report/?EventGameId=Gwxvem2%2bUHoD4hhy0F4vwNKfqDSGcH5Pe7FbG66IAyI%3d
44,15,6,15,9,Blackbird,15,Slow White,8,/teams/events/match_report/?EventGameId=IB3qf%2fuPMJod6WeC4lR6fr1SJyEr7c2i%2friWVO6Koe4%3d
45,9,5,9,15,Slow White,9,Blackbird,17,/teams/events/match_report/?EventGameId=IB3qf%2fuPMJod6WeC4lR6fr1SJyEr7c2i%2friWVO6Koe4%3d
46,15,5,15,5,UPA,15,AMP,7,/teams/events/match_report/?EventGameId=VKTG9Hd%2b7zjK8kzvfC64eEilgrh5yNVNhDyFX%2bsi7XM%3d
47,5,5,5,15,AMP,5,UPA,13,/teams/events/match_report/?EventGameId=VKTG9Hd%2b7zjK8kzvfC64eEilgrh5yNVNhDyFX%2bsi7XM%3d
48,11,3,12,14,Drag'n Thrust,12,Seattle Mixtape,12,/teams/events/match_report/?EventGameId=vmh201FZuW4YN8zIIAZGUwILPst15SM%2bYZ7jtdfJ%2fOA%3d
49,14,4,14,12,Seattle Mixtape,14,Drag'n Thrust,8,/teams/events/match_report/?EventGameId=vmh201FZuW4YN8zIIAZGUwILPst15SM%2bYZ7jtdfJ%2fOA%3d
50,15,6,15,13,Polar Bears,15,Seattle Mixtape,15,/teams/events/match_report/?EventGameId=RlUbfRFDVViqqFieHJuXVVQux95dS4fCron2IoZpiy4%3d
51,13,2,13,15,Seattle Mixtape,13,Polar Bears,16,/teams/events/match_report/?EventGameId=RlUbfRFDVViqqFieHJuXVVQux95dS4fCron2IoZpiy4%3d
52,13,9,13,11,Slow White,13,Drag'n Thrust,18,/teams/events/match_report/?EventGameId=U4jUnfIFmuUt%2bv9M5wlwHdEiJg3U4UGXdEHCdYmUaRw%3d
53,10,10,11,13,Drag'n Thrust,11,Slow White,20,/teams/events/match_report/?EventGameId=U4jUnfIFmuUt%2bv9M5wlwHdEiJg3U4UGXdEHCdYmUaRw%3d
54,15,13,15,13,Ambiguous Grey,15,Seattle Mixtape,25,/teams/events/match_report/?EventGameId=Hnh1coO3lu47CHqQ3z7Q95o11wahzjoiiekPMpZ5oj8%3d
55,13,9,13,15,Seattle Mixtape,13,Ambiguous Grey,24,/teams/events/match_report/?EventGameId=Hnh1coO3lu47CHqQ3z7Q95o11wahzjoiiekPMpZ5oj8%3d
56,13,7,13,14,Polar Bears,13,UPA,22,/teams/events/match_report/?EventGameId=7VEAe8pSgzaS63RUpHTMwqPvkCiVAp1RMpHZQ6ZwS5Q%3d
57,14,9,13,13,UPA,14,Polar Bears,21,/teams/events/match_report/?EventGameId=7VEAe8pSgzaS63RUpHTMwqPvkCiVAp1RMpHZQ6ZwS5Q%3d
58,8,2,8,15,Drag'n Thrust,8,The Chad Larson Experience,14,/teams/events/match_report/?EventGameId=2ip77IZn8hRRU2ThvEG04rIkpZ2LNAEg%2bjrtBlptDL8%3d
59,15,7,15,8,The Chad Larson Experience,15,Drag'n Thrust,10,/teams/events/match_report/?EventGameId=2ip77IZn8hRRU2ThvEG04rIkpZ2LNAEg%2bjrtBlptDL8%3d
60,8,5,8,14,Slow White,8,Wild Card,25,/teams/events/match_report/?EventGameId=NGjj%2bKfxvy704W1Ko%2fS3bMtWhvjtvB3%2fMAFLSTHJmZM%3d
61,14,9,14,8,Wild Card,14,Slow White,20,/teams/events/match_report/?EventGameId=NGjj%2bKfxvy704W1Ko%2fS3bMtWhvjtvB3%2fMAFLSTHJmZM%3d
62,12,5,12,9,AMP,12,Seattle Mixtape,23,/teams/events/match_report/?EventGameId=%2b1tc23%2fhoWQgRU5aIYXXVV%2fLkC4Po8HuaxxV8X1gFO0%3d
63,9,7,9,12,Seattle Mixtape,9,AMP,25,/teams/events/match_report/?EventGameId=%2b1tc23%2fhoWQgRU5aIYXXVV%2fLkC4Po8HuaxxV8X1gFO0%3d
64,15,12,15,9,BirdFruit,15,Ambiguous Grey,22,/teams/events/match_report/?EventGameId=uy0CUkFGSDPOH4aQ8cbFkmaZaTzvZlbiHCNDlpgD2MA%3d
65,9,9,9,15,Ambiguous Grey,9,BirdFruit,23,/teams/events/match_report/?EventGameId=uy0CUkFGSDPOH4aQ8cbFkmaZaTzvZlbiHCNDlpgD2MA%3d
66,15,4,15,10,NOISE,15,UPA,11,/teams/events/match_report/?EventGameId=GYVZF6zQt7ryRHAPo3Td23FFBVQuf9vZMM9aMkJQzPw%3d
67,10,4,10,15,UPA,10,NOISE,16,/teams/events/match_report/?EventGameId=GYVZF6zQt7ryRHAPo3Td23FFBVQuf9vZMM9aMkJQzPw%3d
68,11,8,10,11,Bucket,12,Polar Bears,20,/teams/events/match_report/?EventGameId=%2begwRjRseDY9Bzw8zd3jrH48%2fVf3W%2fgnHwnI2onVybE%3d
69,11,8,11,12,Polar Bears,11,Bucket,18,/teams/events/match_report/?EventGameId=%2begwRjRseDY9Bzw8zd3jrH48%2fVf3W%2fgnHwnI2onVybE%3d
70,14,9,15,8,Love Tractor,15,The Chad Larson Experience,10,/teams/events/match_report/?EventGameId=GglipdqVYHFWtwOvir5ZfYL8KDBvbpAV1lOX0G%2fm3P4%3d
71,8,5,8,15,The Chad Larson Experience,8,Love Tractor,16,/teams/events/match_report/?EventGameId=GglipdqVYHFWtwOvir5ZfYL8KDBvbpAV1lOX0G%2fm3P4%3d
72,14,11,14,13,Blackbird,14,Drag'n Thrust,10,/teams/events/match_report/?EventGameId=t0bbWLHKiJsqRFDntx5jbjWtl%2fEGZCkrJcmSqoPF6DE%3d
73,13,7,13,14,Drag'n Thrust,13,Blackbird,15,/teams/events/match_report/?EventGameId=t0bbWLHKiJsqRFDntx5jbjWtl%2fEGZCkrJcmSqoPF6DE%3d
74,14,11,13,8,Metro North,14,Wild Card,19,/teams/events/match_report/?EventGameId=0f07ufd%2bAoDgFYoAHZDoOch1XIbCRoogDwK8PeIC1BE%3d
75,8,6,8,14,Wild Card,8,Metro North,26,/teams/events/match_report/?EventGameId=0f07ufd%2bAoDgFYoAHZDoOch1XIbCRoogDwK8PeIC1BE%3d
76,15,4,15,8,7 Express,15,Slow White,7,/teams/events/match_report/?EventGameId=L6%2fOt1RsMTqyvooCZuQisM6W%2bQ%2faYiRBBgj8SUCj7Ds%3d
77,8,1,8,15,Slow White,8,7 Express,15,/teams/events/match_report/?EventGameId=L6%2fOt1RsMTqyvooCZuQisM6W%2bQ%2faYiRBBgj8SUCj7Ds%3d
78,15,5,15,9,Ambiguous Grey,15,The Chad Larson Experience,8,/teams/events/match_report/?EventGameId=5r%2bxqyRCqKfWoTuXyRFEvn%2butBmwexan76IgMNydJ2g%3d
79,9,3,9,15,The Chad Larson Experience,9,Ambiguous Grey,12,/teams/events/match_report/?EventGameId=5r%2bxqyRCqKfWoTuXyRFEvn%2butBmwexan76IgMNydJ2g%3d
80,15,8,15,13,UPA,15,The Chad Larson Experience,21,/teams/events/match_report/?EventGameId=AGpGSpfMMd4ET%2bPUAI2pPlMHaOvDMVMNRdz%2bM2Gorbw%3d
81,13,7,13,15,The Chad Larson Experience,13,UPA,22,/teams/events/match_report/?EventGameId=AGpGSpfMMd4ET%2bPUAI2pPlMHaOvDMVMNRdz%2bM2Gorbw%3d
82,9,9,9,9,Wild Card,10,Ambiguous Grey,18,/teams/events/match_report/?EventGameId=p9W4DyRGXvNEDjes%2ff477tJBiUkJa5lHhNngPDlMoSM%3d
83,9,4,9,10,Ambiguous Grey,9,Wild Card,17,/teams/events/match_report/?EventGameId=p9W4DyRGXvNEDjes%2ff477tJBiUkJa5lHhNngPDlMoSM%3d
84,12,4,12,15,Blackbird,12,UPA,20,/teams/events/match_report/?EventGameId=hWG7jGddD7RnfM%2bELa7LUlCPgNJcuXBPiegI%2f8PaVlM%3d
85,15,6,15,12,UPA,15,Blackbird,17,/teams/events/match_report/?EventGameId=hWG7jGddD7RnfM%2bELa7LUlCPgNJcuXBPiegI%2f8PaVlM%3d
86,14,6,14,10,7 Express,15,Blackbird,16,/teams/events/match_report/?EventGameId=qFi1jahFfQSkxgel7zTXySUTcEXnq9F1fspH2fn6Aq4%3d
87,10,5,10,15,Blackbird,10,7 Express,21,/teams/events/match_report/?EventGameId=qFi1jahFfQSkxgel7zTXySUTcEXnq9F1fspH2fn6Aq4%3d
88,13,6,14,12,BirdFruit,14,Blackbird,22,/teams/events/match_report/?EventGameId=aVEemai%2b%2f8nKwgLUMyDLey32hzyUgH5BucXq5lrIzh0%3d
89,12,12,12,14,Blackbird,12,BirdFruit,24,/teams/events/match_report/?EventGameId=aVEemai%2b%2f8nKwgLUMyDLey32hzyUgH5BucXq5lrIzh0%3d
90,13,14,13,11,Love Tractor,13,7 Express,30,/teams/events/match_report/?EventGameId=3FH%2bl9uN8SQCmv52sZu%2faxfSjeRJgC2fGhf19El9QoQ%3d
91,11,11,11,13,7 Express,11,Love Tractor,32,/teams/events/match_report/?EventGameId=3FH%2bl9uN8SQCmv52sZu%2faxfSjeRJgC2fGhf19El9QoQ%3d
92,15,9,15,9,Wild Card,15,Metro North,12,/teams/events/match_report/?EventGameId=W%2b2CN3JEOWONNmcephgRbxNDb4PQa%2bmDgTQr4ugSqeI%3d
93,0,0,0,15,Metro North,9,Wild Card,1,/teams/events/match_report/?EventGameId=W%2b2CN3JEOWONNmcephgRbxNDb4PQa%2bmDgTQr4ugSqeI%3d
94,10,8,10,12,Metro North,10,AMP,20,/teams/events/match_report/?EventGameId=xRbo98MIMIAO1uawmL0aF4wo9dcvsOUZXy7LTl%2b9dgU%3d
95,12,4,12,10,AMP,12,Metro North,19,/teams/events/match_report/?EventGameId=xRbo98MIMIAO1uawmL0aF4wo9dcvsOUZXy7LTl%2b9dgU%3d
96,13,12,13,9,NOISE,13,AMP,21,/teams/events/match_report/?EventGameId=LWqYU%2b%2fI8f2f6UKmMVuUh%2fs3IQZUIe5EI6tUwbqQQww%3d
97,9,7,9,13,AMP,9,NOISE,24,/teams/events/match_report/?EventGameId=LWqYU%2b%2fI8f2f6UKmMVuUh%2fs3IQZUIe5EI6tUwbqQQww%3d
98,11,9,11,9,Bucket,11,Metro North,10,/teams/events/match_report/?EventGameId=zWqHPZuZrsFRWSpCgOcwyQspV8LbfCgo85Wc2dO8ciQ%3d
99,9,4,8,11,Metro North,9,Bucket,9,/teams/events/match_report/?EventGameId=zWqHPZuZrsFRWSpCgOcwyQspV8LbfCgo85Wc2dO8ciQ%3d
100,9,6,9,11,AMP,9,7 Express,23,/teams/events/match_report/?EventGameId=N1aki18izT1Dp1crcX%2bt8hAjnH2MsUCqQwGQYc0W9zw%3d
101,11,6,11,9,7 Express,11,AMP,21,/teams/events/match_report/?EventGameId=N1aki18izT1Dp1crcX%2bt8hAjnH2MsUCqQwGQYc0W9zw%3d
102,13,7,13,11,Bucket,13,Love Tractor,22,/teams/events/match_report/?EventGameId=Dr5%2bZMf9dPxpwTheb8QRGfwVd6b7wBecY0OPAIUnyMQ%3d
103,11,13,11,13,Love Tractor,11,Bucket,19,/teams/events/match_report/?EventGameId=Dr5%2bZMf9dPxpwTheb8QRGfwVd6b7wBecY0OPAIUnyMQ%3d
104,7,3,7,15,Love Tractor,7,BirdFruit,14,/teams/events/match_report/?EventGameId=4p8c6S8izW9Qd0oaG36sFlZTYZhpl09GIhskG3sFG68%3d
105,15,4,15,7,BirdFruit,15,Love Tractor,10,/teams/events/match_report/?EventGameId=4p8c6S8izW9Qd0oaG36sFlZTYZhpl09GIhskG3sFG68%3d
106,10,4,10,14,Bucket,10,NOISE,23,/teams/events/match_report/?EventGameId=mlp4PUlrKeQRQPt8ULsvpjK7bMyB4v5nBEMR99%2be7JA%3d
107,14,9,13,10,NOISE,14,Bucket,18,/teams/events/match_report/?EventGameId=mlp4PUlrKeQRQPt8ULsvpjK7bMyB4v5nBEMR99%2be7JA%3d
108,13,5,13,15,NOISE,13,BirdFruit,19,/teams/events/match_report/?EventGameId=H3SSbCLJYhuOeUi510hByyLEHBIclF54d6k9vnlBWmA%3d
109,14,4,15,13,BirdFruit,15,NOISE,15,/teams/events/match_report/?EventGameId=H3SSbCLJYhuOeUi510hByyLEHBIclF54d6k9vnlBWmA%3d
