,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,14,14,14,12,Rival,14,Pop,29,/teams/events/match_report/?EventGameId=eBrJfU5EBOcG%2fENyrVO6QRVhwmb8HK9Jfwc6b8JASfM%3d
1,12,10,12,14,Pop,12,Rival,33,/teams/events/match_report/?EventGameId=eBrJfU5EBOcG%2fENyrVO6QRVhwmb8HK9Jfwc6b8JASfM%3d
2,13,5,15,7,Nemesis,15,Fury,11,/teams/events/match_report/?EventGameId=q0HncsdHstpEmbFNp0k6FHLi2pFnh6CDoxhjYTYzNBk%3d
3,7,3,7,15,Fury,7,Nemesis,14,/teams/events/match_report/?EventGameId=q0HncsdHstpEmbFNp0k6FHLi2pFnh6CDoxhjYTYzNBk%3d
4,14,15,13,3,Pop,14,Brute Squad,30,/teams/events/match_report/?EventGameId=nk28ITWtqkQwJJOIxnADe06sC2qBRNw%2bwRFo9dM7JPo%3d
5,3,6,3,14,Brute Squad,3,Pop,39,/teams/events/match_report/?EventGameId=nk28ITWtqkQwJJOIxnADe06sC2qBRNw%2bwRFo9dM7JPo%3d
6,12,8,15,4,Nightlock,15,Fury,11,/teams/events/match_report/?EventGameId=A71T27Xx%2bz0bZiE3GK5wld%2fAx6bjF3EI49PdilAOjiM%3d
7,4,0,4,15,Fury,4,Nightlock,15,/teams/events/match_report/?EventGameId=A71T27Xx%2bz0bZiE3GK5wld%2fAx6bjF3EI49PdilAOjiM%3d
8,12,11,12,13,Showdown,12,6ixers,22,/teams/events/match_report/?EventGameId=g7X4ZRguOtjbAMWPct5xd8cBvV2c%2bcasFR6LBiPzDj4%3d
9,12,7,13,12,6ixers,13,Showdown,21,/teams/events/match_report/?EventGameId=g7X4ZRguOtjbAMWPct5xd8cBvV2c%2bcasFR6LBiPzDj4%3d
10,12,9,12,6,Pop,12,Ozone,29,/teams/events/match_report/?EventGameId=dy%2fK6CY7A5A6l1UUlD1OqRL4TlChCSG7IHAlaGBfezc%3d
11,6,13,6,12,Ozone,6,Pop,35,/teams/events/match_report/?EventGameId=dy%2fK6CY7A5A6l1UUlD1OqRL4TlChCSG7IHAlaGBfezc%3d
12,15,5,15,8,Traffic,15,Molly Brown,15,/teams/events/match_report/?EventGameId=sbj6zpgcuE1eJLLb3oExosK816j2HSS4RzF1PdLAl6I%3d
13,7,4,8,15,Molly Brown,8,Traffic,20,/teams/events/match_report/?EventGameId=sbj6zpgcuE1eJLLb3oExosK816j2HSS4RzF1PdLAl6I%3d
14,14,5,14,7,Scandal,15,Fury,10,/teams/events/match_report/?EventGameId=g18sJwfG9ljb61%2br8y3CHefoJwzlLyRPbUGLAOI%2bCwU%3d
15,7,5,7,15,Fury,7,Scandal,18,/teams/events/match_report/?EventGameId=g18sJwfG9ljb61%2br8y3CHefoJwzlLyRPbUGLAOI%2bCwU%3d
16,15,14,15,5,Rival,15,Brute Squad,18,/teams/events/match_report/?EventGameId=N%2bYwEQ%2bTYmP9LANu8NqxlZm9NZuoshh6YfTFQW%2bBmmk%3d
17,4,4,4,15,Brute Squad,5,Rival,28,/teams/events/match_report/?EventGameId=N%2bYwEQ%2bTYmP9LANu8NqxlZm9NZuoshh6YfTFQW%2bBmmk%3d
18,0,0,0,6,Traffic,4,Pop,0,/teams/events/match_report/?EventGameId=aTFL8yqGvjZj73vBapbcVHr8cVYD4RN83DPWOcK0PF0%3d
19,0,0,0,4,Pop,6,Traffic,0,/teams/events/match_report/?EventGameId=aTFL8yqGvjZj73vBapbcVHr8cVYD4RN83DPWOcK0PF0%3d
20,15,9,15,11,Heist,15,Traffic,22,/teams/events/match_report/?EventGameId=lqkliXr6oM2nEVdkhDS23ztyJipEKS5XyHMuGUt64X8%3d
21,11,11,11,15,Traffic,11,Heist,23,/teams/events/match_report/?EventGameId=lqkliXr6oM2nEVdkhDS23ztyJipEKS5XyHMuGUt64X8%3d
22,12,0,11,11,Nightlock,12,Scandal,0,/teams/events/match_report/?EventGameId=U%2bWehvJ%2faH%2bm%2bGJ6bR5f2h%2bk1JoyQG4ZbNNa9HURPgE%3d
23,13,0,13,12,Scandal,11,Nightlock,0,/teams/events/match_report/?EventGameId=U%2bWehvJ%2faH%2bm%2bGJ6bR5f2h%2bk1JoyQG4ZbNNa9HURPgE%3d
24,12,12,12,6,Underground,12,Seattle Riot,10,/teams/events/match_report/?EventGameId=wmnnjRZZLupjIXWP3ZY5h0SMBKdIk1RFXG2cfWWB2dc%3d
25,6,8,6,12,Seattle Riot,6,Underground,6,/teams/events/match_report/?EventGameId=wmnnjRZZLupjIXWP3ZY5h0SMBKdIk1RFXG2cfWWB2dc%3d
26,14,14,14,11,Nemesis,14,Nightlock,28,/teams/events/match_report/?EventGameId=4m1g1%2fd93UKzxh7suLsW8Tri0YKP6PuEQtvFvQa0YA0%3d
27,10,8,9,14,Nightlock,11,Nemesis,27,/teams/events/match_report/?EventGameId=4m1g1%2fd93UKzxh7suLsW8Tri0YKP6PuEQtvFvQa0YA0%3d
28,0,0,0,5,6ixers,5,Scandal,0,/teams/events/match_report/?EventGameId=E5W5dALEWjoR2Sa08Wt417xe6jDIl9Tei2jskeyQLgo%3d
29,0,0,0,5,Scandal,5,6ixers,0,/teams/events/match_report/?EventGameId=E5W5dALEWjoR2Sa08Wt417xe6jDIl9Tei2jskeyQLgo%3d
30,6,11,6,12,Underground,6,Showdown,24,/teams/events/match_report/?EventGameId=NiauJ%2bNd4PUavzN5%2bJt4cNcb2Yj%2f6V5l4GrrjV43rFY%3d
31,12,0,12,6,Showdown,12,Underground,0,/teams/events/match_report/?EventGameId=NiauJ%2bNd4PUavzN5%2bJt4cNcb2Yj%2f6V5l4GrrjV43rFY%3d
32,14,7,15,6,Showdown,15,Seattle Riot,11,/teams/events/match_report/?EventGameId=EtZ%2bWHg2GbO8aw9vnchfcc3Jh4kBkhwdQER3QP4bTq8%3d
33,5,5,6,15,Seattle Riot,6,Showdown,9,/teams/events/match_report/?EventGameId=EtZ%2bWHg2GbO8aw9vnchfcc3Jh4kBkhwdQER3QP4bTq8%3d
34,0,0,0,11,Underground,12,6ixers,0,/teams/events/match_report/?EventGameId=cRAEcBWiQ%2fOD8W%2bw8EKeeKfz4lxT5AwBxlQQR0rwr90%3d
35,0,0,0,12,6ixers,11,Underground,0,/teams/events/match_report/?EventGameId=cRAEcBWiQ%2fOD8W%2bw8EKeeKfz4lxT5AwBxlQQR0rwr90%3d
36,0,0,0,6,Rival,4,Showdown,0,/teams/events/match_report/?EventGameId=xfI6hqM4tWrFBLa3Xozs5BhdczP0cThChbthJnEhgEM%3d
37,0,0,0,4,Showdown,6,Rival,0,/teams/events/match_report/?EventGameId=xfI6hqM4tWrFBLa3Xozs5BhdczP0cThChbthJnEhgEM%3d
38,15,5,15,9,Ozone,15,Brute Squad,9,/teams/events/match_report/?EventGameId=%2bYQaBgWEsVLI9zZuNIEjeEXojLTmzNH6NF9Gsq8ZT5Y%3d
39,9,1,9,15,Brute Squad,9,Ozone,14,/teams/events/match_report/?EventGameId=%2bYQaBgWEsVLI9zZuNIEjeEXojLTmzNH6NF9Gsq8ZT5Y%3d
40,15,4,15,6,Nemesis,15,Scandal,14,/teams/events/match_report/?EventGameId=vL9VblS0M%2fjSGoRoKZ%2bBHkNpMnYUnAqfN3Oz0xbRZdU%3d
41,5,6,5,15,Scandal,6,Nemesis,19,/teams/events/match_report/?EventGameId=vL9VblS0M%2fjSGoRoKZ%2bBHkNpMnYUnAqfN3Oz0xbRZdU%3d
42,15,10,15,6,Heist,15,Molly Brown,16,/teams/events/match_report/?EventGameId=23QyE%2fKY%2b6t2MHDaRzv7gNNt6y9A0NTlJPQV6JPdEw4%3d
43,6,8,6,15,Molly Brown,6,Heist,20,/teams/events/match_report/?EventGameId=23QyE%2fKY%2b6t2MHDaRzv7gNNt6y9A0NTlJPQV6JPdEw4%3d
44,15,7,15,8,6ixers,15,Seattle Riot,19,/teams/events/match_report/?EventGameId=Z9su1cHoSwIEvi52sPs5%2fDU4ha%2fRcJrw2rdvog9gr1A%3d
45,7,6,8,15,Seattle Riot,8,6ixers,23,/teams/events/match_report/?EventGameId=Z9su1cHoSwIEvi52sPs5%2fDU4ha%2fRcJrw2rdvog9gr1A%3d
46,16,6,15,10,Schwa,15,Molly Brown,10,/teams/events/match_report/?EventGameId=9dEpO0PcxuyMgtFuAz%2bMgwbECajvgCDj039uJR%2baOAI%3d
47,9,1,9,15,Molly Brown,10,Schwa,5,/teams/events/match_report/?EventGameId=9dEpO0PcxuyMgtFuAz%2bMgwbECajvgCDj039uJR%2baOAI%3d
48,10,8,9,15,Schwa,9,Heist,12,/teams/events/match_report/?EventGameId=%2bQiJgwiCgFhth1Qg95LCP9EC%2bcW%2fB1hbmvzqUzuFNa8%3d
49,15,12,15,9,Heist,15,Schwa,13,/teams/events/match_report/?EventGameId=%2bQiJgwiCgFhth1Qg95LCP9EC%2bcW%2fB1hbmvzqUzuFNa8%3d
50,0,0,0,5,Nemesis,5,Heist,0,/teams/events/match_report/?EventGameId=FTCY682x0DpfEnk1vsn6TwdLRqucYW1vcwJae3jYOVY%3d
51,0,0,0,5,Heist,5,Nemesis,0,/teams/events/match_report/?EventGameId=FTCY682x0DpfEnk1vsn6TwdLRqucYW1vcwJae3jYOVY%3d
52,0,0,0,5,Underground,5,Nightlock,0,/teams/events/match_report/?EventGameId=WFjWxg773B%2bVwU60vM4IvUe3XT3HWX7pw87MeG89WmQ%3d
