,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
48,11,9,11,12,Brute Squad,11,Seattle Riot,22,/teams/events/match_report/?EventGameId=zNczEvnjy9whJ3YnjsUg8qrIb%2fHzkoSiF1RTi0JO0h0%3d
49,12,11,12,11,Seattle Riot,12,Brute Squad,21,/teams/events/match_report/?EventGameId=zNczEvnjy9whJ3YnjsUg8qrIb%2fHzkoSiF1RTi0JO0h0%3d
50,15,4,15,14,Fury,15,Seattle Riot,14,/teams/events/match_report/?EventGameId=QsuP%2f3tvsob1xG1XjJpPW6P16yOu8u%2bP4VM50c9wYWk%3d
51,14,9,14,15,Seattle Riot,14,Fury,15,/teams/events/match_report/?EventGameId=QsuP%2f3tvsob1xG1XjJpPW6P16yOu8u%2bP4VM50c9wYWk%3d
52,9,6,9,14,Brute Squad,9,Molly Brown,21,/teams/events/match_report/?EventGameId=wG%2bVgevMXlzQkZWp05ow9i9Fr7bBFAASYxAGhY%2fW6Lg%3d
53,14,10,14,9,Molly Brown,14,Brute Squad,18,/teams/events/match_report/?EventGameId=wG%2bVgevMXlzQkZWp05ow9i9Fr7bBFAASYxAGhY%2fW6Lg%3d
54,15,15,15,9,Traffic,15,Seattle Riot,28,/teams/events/match_report/?EventGameId=rfFRvrvHlUWvaiWAV1kmwMDflrKxGTTVc0MAboL6Tbs%3d
55,9,16,9,15,Seattle Riot,9,Traffic,34,/teams/events/match_report/?EventGameId=rfFRvrvHlUWvaiWAV1kmwMDflrKxGTTVc0MAboL6Tbs%3d
56,6,2,5,15,Fury,7,Showdown,16,/teams/events/match_report/?EventGameId=zUiZpzDibk18mYkyLBdNgmBblW1Fk9vqvO5jn9ecOrI%3d
57,15,7,15,7,Showdown,15,Fury,14,/teams/events/match_report/?EventGameId=zUiZpzDibk18mYkyLBdNgmBblW1Fk9vqvO5jn9ecOrI%3d
