,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
65,15,2,15,12,Sub Zero,15,Truck Stop,7,/teams/events/match_report/?EventGameId=gGWA%2fdq8m5KXnc3tV8JFnrcxluDegy9S6%2bMKy7xB4H0%3d
66,13,2,13,15,Chicago Machine,13,Johnny Bravo,5,/teams/events/match_report/?EventGameId=K7MRt8YbJX3m64HAbJm1ySeRHWM0OFKSO3%2bE78tCwHE%3d
67,15,5,15,13,Johnny Bravo,15,Chicago Machine,8,/teams/events/match_report/?EventGameId=K7MRt8YbJX3m64HAbJm1ySeRHWM0OFKSO3%2bE78tCwHE%3d
68,13,1,13,15,Ring of Fire,13,Florida United,14,/teams/events/match_report/?EventGameId=xTw8LN8EsKBuxENF8Z370HPEtzUY1Z8Aq7t%2fvIRKygA%3d
69,14,7,15,13,Florida United,15,Ring of Fire,13,/teams/events/match_report/?EventGameId=xTw8LN8EsKBuxENF8Z370HPEtzUY1Z8Aq7t%2fvIRKygA%3d
70,14,3,14,9,GOAT,14,Doublewide,7,/teams/events/match_report/?EventGameId=vxT3hW%2fl9NN%2fpnacKybPyZJEj4dPpp8RvhYtXIuyR0Q%3d
71,9,3,8,14,Doublewide,9,GOAT,10,/teams/events/match_report/?EventGameId=vxT3hW%2fl9NN%2fpnacKybPyZJEj4dPpp8RvhYtXIuyR0Q%3d
72,11,3,11,14,Ironside,11,Patrol,15,/teams/events/match_report/?EventGameId=ujSTUm4hfHTLV3lNyg8nqobO3WLsKciRDB3iMlCKnak%3d
73,14,8,14,11,Patrol,14,Ironside,12,/teams/events/match_report/?EventGameId=ujSTUm4hfHTLV3lNyg8nqobO3WLsKciRDB3iMlCKnak%3d
74,15,12,15,9,Rhino,15,Sockeye,14,/teams/events/match_report/?EventGameId=u1ysFHDpjHh4zxY9qnde11XIH%2fH4mIuRHHHqo92reHM%3d
75,9,4,9,15,Sockeye,9,Rhino,19,/teams/events/match_report/?EventGameId=u1ysFHDpjHh4zxY9qnde11XIH%2fH4mIuRHHHqo92reHM%3d
76,12,8,11,15,Madison Club,12,HIGH FIVE,15,/teams/events/match_report/?EventGameId=L%2b2KFtDaJlZG9L9wp5nS%2bj9KsFXQYpu%2flgJBWnCdHLA%3d
77,14,4,14,12,HIGH FIVE,15,Madison Club,14,/teams/events/match_report/?EventGameId=L%2b2KFtDaJlZG9L9wp5nS%2bj9KsFXQYpu%2flgJBWnCdHLA%3d
78,11,6,11,7,Ring of Fire,11,Doublewide,9,/teams/events/match_report/?EventGameId=jFzztENe8pAxvHcXULYkhNAxvRvpbs8HWPmR2yerjoM%3d
79,7,6,6,11,Doublewide,7,Ring of Fire,12,/teams/events/match_report/?EventGameId=jFzztENe8pAxvHcXULYkhNAxvRvpbs8HWPmR2yerjoM%3d
