,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,0,0,0,10,8,Nemesis,9,12,Showdown,0,/teams/events/match_report/?EventGameId=ZI2ex7h%2bi02%2bsRdVdSNFHyvGo6gJ4imJwZMz%2frmKr8M%3d
1,0,0,0,9,12,Showdown,10,8,Nemesis,0,/teams/events/match_report/?EventGameId=ZI2ex7h%2bi02%2bsRdVdSNFHyvGo6gJ4imJwZMz%2frmKr8M%3d
0,6,2,10,9,13,Heist,10,7,Wildfire,0,/teams/events/match_report/?EventGameId=HxaBPWnyYGfu0LhSr%2fvMdE5N1QKzznvDE8QOqz%2fzel4%3d
1,4,7,4,10,7,Wildfire,9,13,Heist,1,/teams/events/match_report/?EventGameId=HxaBPWnyYGfu0LhSr%2fvMdE5N1QKzznvDE8QOqz%2fzel4%3d
0,10,6,10,12,14,Grit,11,7,Wildfire,13,/teams/events/match_report/?EventGameId=A9x7F6XPTrX1SikznG60%2fJ1Fj48SoYEMRk8i%2bYnJY8w%3d
1,0,1,3,11,7,Wildfire,12,14,Grit,1,/teams/events/match_report/?EventGameId=A9x7F6XPTrX1SikznG60%2fJ1Fj48SoYEMRk8i%2bYnJY8w%3d
0,5,4,7,11,6,Ozone,13,3,6ixers,3,/teams/events/match_report/?EventGameId=r%2f1azu0TmS7GgOi6LyOjJ8AHyqVXAftOTtMH6OiyvlI%3d
1,7,3,7,13,3,6ixers,11,6,Ozone,3,/teams/events/match_report/?EventGameId=r%2f1azu0TmS7GgOi6LyOjJ8AHyqVXAftOTtMH6OiyvlI%3d
0,12,4,13,7,14,Grit,13,2,Scandal,10,/teams/events/match_report/?EventGameId=b2N0tAOp1xT6%2b96c5lF3ssF2eCjFh1pHRflTAtvJaxk%3d
1,0,2,4,13,2,Scandal,7,14,Grit,4,/teams/events/match_report/?EventGameId=b2N0tAOp1xT6%2b96c5lF3ssF2eCjFh1pHRflTAtvJaxk%3d
0,8,0,2,5,15,Wicked,13,3,6ixers,0,/teams/events/match_report/?EventGameId=oF2DJJL3mQHT%2fuBWu1rBBFbeXo0bzPLV6Ag05Kogn5M%3d
1,1,0,1,13,3,6ixers,5,15,Wicked,0,/teams/events/match_report/?EventGameId=oF2DJJL3mQHT%2fuBWu1rBBFbeXo0bzPLV6Ag05Kogn5M%3d
0,10,8,10,8,12,Showdown,10,8,Nemesis,11,/teams/events/match_report/?EventGameId=1EJe%2bah7NEV5z6fubhHZTxfVXDoNNflUgRY4ty1B6BI%3d
1,8,8,8,10,8,Nemesis,8,12,Showdown,12,/teams/events/match_report/?EventGameId=1EJe%2bah7NEV5z6fubhHZTxfVXDoNNflUgRY4ty1B6BI%3d
0,0,0,0,7,12,Showdown,8,10,Rival,0,/teams/events/match_report/?EventGameId=GqBc%2fjcETzoGtgLuRybaH64PHwuo%2b%2bEiX4ybeCdYAgU%3d
1,0,0,0,8,10,Rival,7,12,Showdown,0,/teams/events/match_report/?EventGameId=GqBc%2fjcETzoGtgLuRybaH64PHwuo%2b%2bEiX4ybeCdYAgU%3d
0,0,0,0,9,15,Wicked,6,16,Colorado Small Batch,0,/teams/events/match_report/?EventGameId=qKsNihGvmCScRaNzSPVq0CXuiO7G7AnUQPKwvX9oBWM%3d
1,0,0,0,6,16,Colorado Small Batch,9,15,Wicked,0,/teams/events/match_report/?EventGameId=qKsNihGvmCScRaNzSPVq0CXuiO7G7AnUQPKwvX9oBWM%3d
0,9,8,10,8,13,Heist,11,12,Showdown,0,/teams/events/match_report/?EventGameId=w0AGNLqbHCOhtKeXqIfGeT2XJo95bGcBckslqLyW%2bkQ%3d
1,8,0,7,11,12,Showdown,8,13,Heist,0,/teams/events/match_report/?EventGameId=w0AGNLqbHCOhtKeXqIfGeT2XJo95bGcBckslqLyW%2bkQ%3d
0,5,6,5,2,13,Heist,13,1,Molly Brown,0,/teams/events/match_report/?EventGameId=fybnXsE6W7k91sWQItrWsQYZxcwQ4JzT4%2blcvGLPIms%3d
1,2,0,0,13,1,Molly Brown,2,13,Heist,0,/teams/events/match_report/?EventGameId=fybnXsE6W7k91sWQItrWsQYZxcwQ4JzT4%2blcvGLPIms%3d
0,0,0,0,9,14,Grit,4,9,Pop,0,/teams/events/match_report/?EventGameId=V%2b7%2bQceorXIksEuxBPo3YeeBiw1CzcdDNe0gHAJyCik%3d
1,0,0,0,4,9,Pop,9,14,Grit,0,/teams/events/match_report/?EventGameId=V%2b7%2bQceorXIksEuxBPo3YeeBiw1CzcdDNe0gHAJyCik%3d
0,0,0,0,9,10,Rival,13,11,Phoenix,0,/teams/events/match_report/?EventGameId=rf%2bx5jjnhSPNLdJcnjyBxBpQehW9zW%2fLoxR59CkauSA%3d
1,0,0,0,13,11,Phoenix,9,10,Rival,0,/teams/events/match_report/?EventGameId=rf%2bx5jjnhSPNLdJcnjyBxBpQehW9zW%2fLoxR59CkauSA%3d
0,8,0,4,13,11,Phoenix,8,7,Wildfire,0,/teams/events/match_report/?EventGameId=%2bzxswcK%2b05Y5dpMeax77FfPFMVPtpVQTd5TQxYODMtM%3d
1,12,0,8,8,7,Wildfire,13,11,Phoenix,0,/teams/events/match_report/?EventGameId=%2bzxswcK%2b05Y5dpMeax77FfPFMVPtpVQTd5TQxYODMtM%3d
0,0,0,0,13,3,6ixers,9,5,Schwa,0,/teams/events/match_report/?EventGameId=o6MPkqLBHY%2fD6VvyL87uYqF9fowdxax6cillJnNaFgo%3d
1,0,0,0,9,5,Schwa,13,3,6ixers,0,/teams/events/match_report/?EventGameId=o6MPkqLBHY%2fD6VvyL87uYqF9fowdxax6cillJnNaFgo%3d
