,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
92,7,5,7,15,Public Enemy,7,No Touching!,17,/teams/events/match_report/?EventGameId=kldhCWT%2f20phfUo7VIG2R8k4r1gsiHcC2DZBYtYBBdI%3d
93,16,10,15,7,No Touching!,15,Public Enemy,9,/teams/events/match_report/?EventGameId=kldhCWT%2f20phfUo7VIG2R8k4r1gsiHcC2DZBYtYBBdI%3d
94,15,15,15,8,Love Tractor,15,Alloy,14,/teams/events/match_report/?EventGameId=L3dBhlOL7zlNA%2bsF7EsgFdPXV1dMGrKJfUFonmLty7Y%3d
95,8,11,8,15,Alloy,8,Love Tractor,22,/teams/events/match_report/?EventGameId=L3dBhlOL7zlNA%2bsF7EsgFdPXV1dMGrKJfUFonmLty7Y%3d
96,9,12,10,15,Alloy,10,shame.,26,/teams/events/match_report/?EventGameId=PxrtjKAsWP6qfJlonbiDww9RQ%2feB%2fQcOPQFahh0gOHQ%3d
97,14,9,15,10,shame.,15,Alloy,21,/teams/events/match_report/?EventGameId=PxrtjKAsWP6qfJlonbiDww9RQ%2feB%2fQcOPQFahh0gOHQ%3d
98,15,12,15,8,G-Unit,15,Love Tractor,13,/teams/events/match_report/?EventGameId=D5NXIRF%2fYNWSruAqJsx9fU%2f14AgU2oVxsvdsD0PC%2bSI%3d
99,8,7,8,15,Love Tractor,8,G-Unit,14,/teams/events/match_report/?EventGameId=D5NXIRF%2fYNWSruAqJsx9fU%2f14AgU2oVxsvdsD0PC%2bSI%3d
100,15,5,15,16,G-Unit,15,shame.,13,/teams/events/match_report/?EventGameId=h8RkhM9dmVune9T5RX11zsIBYGuqM1cOoGzzHtj9Tpk%3d
101,16,6,16,15,shame.,16,G-Unit,13,/teams/events/match_report/?EventGameId=h8RkhM9dmVune9T5RX11zsIBYGuqM1cOoGzzHtj9Tpk%3d
102,13,11,14,13,G-Unit,14,Alloy,21,/teams/events/match_report/?EventGameId=qZewYkr%2fjnpVhIJm03lx4w%2bdH4RjohfcAH5Oqts9whk%3d
103,13,6,13,14,Alloy,13,G-Unit,21,/teams/events/match_report/?EventGameId=qZewYkr%2fjnpVhIJm03lx4w%2bdH4RjohfcAH5Oqts9whk%3d
104,15,8,15,11,Blackbird,15,Love Tractor,18,/teams/events/match_report/?EventGameId=6ekv4BnKxkxsFGXrBqiHZFE8eEQozT47FGw7sFk8qts%3d
105,11,6,10,15,Love Tractor,11,Blackbird,21,/teams/events/match_report/?EventGameId=6ekv4BnKxkxsFGXrBqiHZFE8eEQozT47FGw7sFk8qts%3d
