,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
1,0,1,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
2,1,1,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
3,2,1,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
4,2,2,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
5,3,2,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
6,4,2,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
7,4,3,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
8,5,3,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
9,6,3,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
10,6,4,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
11,6,5,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
12,7,5,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
13,7,6,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
14,7,7,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
15,8,7,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
16,8,8,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
17,8,9,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
18,9,9,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
19,9,10,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
20,9,11,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
21,10,11,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
22,11,11,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
23,11,12,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
24,12,12,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
25,12,13,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
26,12,14,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,GOAT,6,10,12,13
0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
1,1,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
2,2,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
3,3,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
4,3,1,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
5,4,1,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
6,5,1,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
7,5,2,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
8,6,2,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
9,7,2,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
10,8,2,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
11,9,2,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,Inception,4,16,13,2
