,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,13,4,13,11,Florida United,13,Doublewide,10,/teams/events/match_report/?EventGameId=SQ4a6buIAWEYK7FWjvWItpTZ99jBA%2fX%2fGEqpx7MpNUo%3d
1,11,7,11,13,Doublewide,11,Florida United,11,/teams/events/match_report/?EventGameId=SQ4a6buIAWEYK7FWjvWItpTZ99jBA%2fX%2fGEqpx7MpNUo%3d
2,13,14,12,7,Florida United,15,Sub Zero,15,/teams/events/match_report/?EventGameId=Ox1ygwI%2bSAZ0oYy168Mj%2fJEKVFiESKsU%2b3aWWGrPkCM%3d
3,7,3,7,15,Sub Zero,7,Florida United,28,/teams/events/match_report/?EventGameId=Ox1ygwI%2bSAZ0oYy168Mj%2fJEKVFiESKsU%2b3aWWGrPkCM%3d
4,10,7,9,13,Chicago Machine,10,Sockeye,16,/teams/events/match_report/?EventGameId=dzDnWHxGWYuMRAnxPClpUvS06zbj%2fXJNxjZlnWKB%2b1g%3d
5,11,9,10,10,Sockeye,13,Chicago Machine,12,/teams/events/match_report/?EventGameId=dzDnWHxGWYuMRAnxPClpUvS06zbj%2fXJNxjZlnWKB%2b1g%3d
6,14,8,14,12,GOAT,15,Ring of Fire,13,/teams/events/match_report/?EventGameId=aDNW8fEAQ12%2f5u5drOS9WPOnWhCTUasvkr3oRWq%2b0Qo%3d
7,12,7,12,15,Ring of Fire,12,GOAT,8,/teams/events/match_report/?EventGameId=aDNW8fEAQ12%2f5u5drOS9WPOnWhCTUasvkr3oRWq%2b0Qo%3d
8,13,10,13,11,SoCal Condors,13,Johnny Bravo,14,/teams/events/match_report/?EventGameId=grwfYfYjzrLgFHIG3pyFGHGJm2OEtxY3VFfHo9ycuPo%3d
9,11,8,11,13,Johnny Bravo,11,SoCal Condors,16,/teams/events/match_report/?EventGameId=grwfYfYjzrLgFHIG3pyFGHGJm2OEtxY3VFfHo9ycuPo%3d
10,6,0,6,10,Sub Zero,13,PoNY,0,/teams/events/match_report/?EventGameId=IDfSzo%2f2qLExYIufnTRsmO1sRteF%2bgpcsN%2bWvfnnSH8%3d
11,5,0,5,13,PoNY,10,Sub Zero,0,/teams/events/match_report/?EventGameId=IDfSzo%2f2qLExYIufnTRsmO1sRteF%2bgpcsN%2bWvfnnSH8%3d
12,14,3,12,10,Patrol,15,Sub Zero,6,/teams/events/match_report/?EventGameId=jDjmKkl4W4x8NxIY9CEllv%2briw4kNDHIqaHQ9rKEurI%3d
13,10,3,9,15,Sub Zero,10,Patrol,10,/teams/events/match_report/?EventGameId=jDjmKkl4W4x8NxIY9CEllv%2briw4kNDHIqaHQ9rKEurI%3d
14,6,5,7,15,Ring of Fire,7,Chicago Machine,19,/teams/events/match_report/?EventGameId=SiXSZOXDAJgWSZtggdpKtJCoDAFoDYe%2f%2f7avQH%2b4YHQ%3d
15,15,6,15,7,Chicago Machine,15,Ring of Fire,13,/teams/events/match_report/?EventGameId=SiXSZOXDAJgWSZtggdpKtJCoDAFoDYe%2f%2f7avQH%2b4YHQ%3d
16,14,6,13,13,SoCal Condors,14,Sockeye,11,/teams/events/match_report/?EventGameId=dIpsHmlgRpDQqtR0avxtU68QCZTrZD8lxATW%2bYSqql8%3d
17,13,5,12,14,Sockeye,13,SoCal Condors,5,/teams/events/match_report/?EventGameId=dIpsHmlgRpDQqtR0avxtU68QCZTrZD8lxATW%2bYSqql8%3d
18,13,8,13,12,Patrol,13,Ironside,8,/teams/events/match_report/?EventGameId=N2cJf1590yu8Ps143mYWdEI3%2bIdLMXosC1ibupgDLqI%3d
19,11,6,12,13,Ironside,12,Patrol,10,/teams/events/match_report/?EventGameId=N2cJf1590yu8Ps143mYWdEI3%2bIdLMXosC1ibupgDLqI%3d
20,12,2,10,13,Patrol,15,HIGH FIVE,5,/teams/events/match_report/?EventGameId=TyyPTXLFkSHQa6VCeCbfmVdNf3igpSkIK2Bx%2fF06MiA%3d
21,9,2,10,15,HIGH FIVE,13,Patrol,7,/teams/events/match_report/?EventGameId=TyyPTXLFkSHQa6VCeCbfmVdNf3igpSkIK2Bx%2fF06MiA%3d
22,11,8,11,9,Dig,11,Ring of Fire,17,/teams/events/match_report/?EventGameId=bfYts%2fRUwmhuLXEaRYyCVxqXDqKQDFiO1wvhfiFcHB4%3d
23,9,7,9,11,Ring of Fire,9,Dig,18,/teams/events/match_report/?EventGameId=bfYts%2fRUwmhuLXEaRYyCVxqXDqKQDFiO1wvhfiFcHB4%3d
24,15,3,15,14,PoNY,15,Ironside,10,/teams/events/match_report/?EventGameId=IZI%2fwRMo27zCbBgxIyFqnUsZdU9vsOnBsWV5E3K0wQ8%3d
25,14,3,14,15,Ironside,14,PoNY,13,/teams/events/match_report/?EventGameId=IZI%2fwRMo27zCbBgxIyFqnUsZdU9vsOnBsWV5E3K0wQ8%3d
26,12,8,12,14,Doublewide,12,HIGH FIVE,13,/teams/events/match_report/?EventGameId=l1vEDSqsqylNS48%2fWxKQO4G%2fG6wjAaeY8ocnpLbe6EA%3d
27,14,1,14,12,HIGH FIVE,14,Doublewide,5,/teams/events/match_report/?EventGameId=l1vEDSqsqylNS48%2fWxKQO4G%2fG6wjAaeY8ocnpLbe6EA%3d
28,8,6,8,14,Florida United,8,Sockeye,14,/teams/events/match_report/?EventGameId=a7f6O7tpINN4qMoF7Xz%2f1lzI6kGHRvsVcp2WriRv0o0%3d
