,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,15,3,15,8,10,Rhino Slam,15,13,HIGH FIVE,5,/teams/events/match_report/?EventGameId=bLI70GN%2bmxoOSzVE6DKR62ZL%2fYMLukZIpYtIvde%2f8dk%3d
1,8,2,8,15,13,HIGH FIVE,8,10,Rhino Slam,11,/teams/events/match_report/?EventGameId=bLI70GN%2bmxoOSzVE6DKR62ZL%2fYMLukZIpYtIvde%2f8dk%3d
0,15,8,15,12,14,Pittsburgh Temper,15,11,Doublewide,16,/teams/events/match_report/?EventGameId=b5PxbUHj2rz%2fqdCksIXKS3YkH4AZ4uE05hcu3IN4w9M%3d
1,12,7,12,15,11,Doublewide,12,14,Pittsburgh Temper,17,/teams/events/match_report/?EventGameId=b5PxbUHj2rz%2fqdCksIXKS3YkH4AZ4uE05hcu3IN4w9M%3d
0,7,3,7,0,3,PoNY,0,1,Revolver,14,/teams/events/match_report/?EventGameId=H2t6qm2tnkd2EXR0%2feFHM8C%2bcSyAV5uuoee%2fBC%2f%2fSFk%3d
1,15,8,15,0,1,Revolver,0,3,PoNY,7,/teams/events/match_report/?EventGameId=H2t6qm2tnkd2EXR0%2feFHM8C%2bcSyAV5uuoee%2fBC%2f%2fSFk%3d
0,14,7,15,15,15,Johnny Bravo,14,16,Chain Lightning,8,/teams/events/match_report/?EventGameId=RifnNjuKQbOdjbNnsnrtntbQEt92SaZadAVUTC73VvU%3d
1,14,3,14,14,16,Chain Lightning,15,15,Johnny Bravo,11,/teams/events/match_report/?EventGameId=RifnNjuKQbOdjbNnsnrtntbQEt92SaZadAVUTC73VvU%3d
0,15,4,15,12,8,Madison Club,15,5,Furious George,15,/teams/events/match_report/?EventGameId=EGyxJTMxXBQHbZZtvXn2%2fRCbwaVBsColBYNoDJAY40o%3d
1,12,6,12,15,5,Furious George,12,8,Madison Club,16,/teams/events/match_report/?EventGameId=EGyxJTMxXBQHbZZtvXn2%2fRCbwaVBsColBYNoDJAY40o%3d
0,14,3,14,12,15,Johnny Bravo,15,6,Truck Stop,4,/teams/events/match_report/?EventGameId=SxIjX%2f75GjnigrVXufmPpvV5%2fulNATJtRoZaJW2wPns%3d
1,11,3,11,15,6,Truck Stop,12,15,Johnny Bravo,8,/teams/events/match_report/?EventGameId=SxIjX%2f75GjnigrVXufmPpvV5%2fulNATJtRoZaJW2wPns%3d
0,13,6,13,11,10,Rhino Slam,13,3,PoNY,7,/teams/events/match_report/?EventGameId=e3q8oJhkJ72kE%2fiBwFvlcCGszOdgiglvM7KLJcSFTWk%3d
1,11,6,11,13,3,PoNY,11,10,Rhino Slam,9,/teams/events/match_report/?EventGameId=e3q8oJhkJ72kE%2fiBwFvlcCGszOdgiglvM7KLJcSFTWk%3d
0,15,5,15,12,7,DiG,15,8,Madison Club,9,/teams/events/match_report/?EventGameId=zmbWamIjkdVlWhf4CZr6FfkK%2f0aAY7xl8u3CahH6kGQ%3d
1,12,4,12,15,8,Madison Club,12,7,DiG,12,/teams/events/match_report/?EventGameId=zmbWamIjkdVlWhf4CZr6FfkK%2f0aAY7xl8u3CahH6kGQ%3d
0,13,4,13,11,9,Chicago Machine,13,3,PoNY,12,/teams/events/match_report/?EventGameId=1tDQVuwETXoEX8WdF4Wc29vG%2fxZsBJEVlJ%2f3cA%2bpcAQ%3d
1,11,5,11,13,3,PoNY,11,9,Chicago Machine,15,/teams/events/match_report/?EventGameId=1tDQVuwETXoEX8WdF4Wc29vG%2fxZsBJEVlJ%2f3cA%2bpcAQ%3d
0,12,6,12,14,12,Sub Zero,12,5,Furious George,11,/teams/events/match_report/?EventGameId=ArfCUlGNBgsesmRpbaYxnXoAdwdvwg3IeAWtU%2bEPoKw%3d
1,14,5,14,12,5,Furious George,14,12,Sub Zero,6,/teams/events/match_report/?EventGameId=ArfCUlGNBgsesmRpbaYxnXoAdwdvwg3IeAWtU%2bEPoKw%3d
0,15,5,15,6,8,Madison Club,15,1,Revolver,3,/teams/events/match_report/?EventGameId=jkLyMgU60sFy8HesYI%2bnenLig6EcPDlTSydIICV5KhI%3d
1,6,0,5,15,1,Revolver,6,8,Madison Club,11,/teams/events/match_report/?EventGameId=jkLyMgU60sFy8HesYI%2bnenLig6EcPDlTSydIICV5KhI%3d
0,10,1,10,15,12,Sub Zero,10,8,Madison Club,11,/teams/events/match_report/?EventGameId=CPz0ddB1biEQhKomXjVPEln5pt%2bE9Ur0fQ9zI6Wsjuk%3d
1,15,8,15,10,8,Madison Club,15,12,Sub Zero,8,/teams/events/match_report/?EventGameId=CPz0ddB1biEQhKomXjVPEln5pt%2bE9Ur0fQ9zI6Wsjuk%3d
0,14,8,14,11,11,Doublewide,14,2,Sockeye,11,/teams/events/match_report/?EventGameId=EMFBQj94qPuMOU8Bp6Na5oIwJjTb6UytYVxBRsy%2bIRE%3d
1,11,7,11,14,2,Sockeye,11,11,Doublewide,14,/teams/events/match_report/?EventGameId=EMFBQj94qPuMOU8Bp6Na5oIwJjTb6UytYVxBRsy%2bIRE%3d
0,14,2,14,12,16,Chain Lightning,14,5,Furious George,1,/teams/events/match_report/?EventGameId=%2b0DA09naz0E7jGK414lvmgYOZ25tKh%2fTduCwhvG9aAc%3d
1,12,1,12,14,5,Furious George,12,16,Chain Lightning,2,/teams/events/match_report/?EventGameId=%2b0DA09naz0E7jGK414lvmgYOZ25tKh%2fTduCwhvG9aAc%3d
0,15,5,15,13,5,Furious George,15,12,Sub Zero,7,/teams/events/match_report/?EventGameId=W8MTfYH93YzpdGAfJKRE%2bkF89H5Wjb%2fllAiyDAzNe9c%3d
1,13,1,13,15,12,Sub Zero,13,5,Furious George,8,/teams/events/match_report/?EventGameId=W8MTfYH93YzpdGAfJKRE%2bkF89H5Wjb%2fllAiyDAzNe9c%3d
0,15,3,15,9,15,Johnny Bravo,15,5,Furious George,5,/teams/events/match_report/?EventGameId=9IH2jkawHDv%2b%2fHWONeHbyaYwjBISgCy2w3lkq5mmUvs%3d
1,9,2,9,15,5,Furious George,9,15,Johnny Bravo,10,/teams/events/match_report/?EventGameId=9IH2jkawHDv%2b%2fHWONeHbyaYwjBISgCy2w3lkq5mmUvs%3d
0,13,5,13,11,12,Sub Zero,13,6,Truck Stop,10,/teams/events/match_report/?EventGameId=gnKmCP%2fkz3Kwhmb382T5QvfjFyV37cjuiyEB3B%2b8%2fXk%3d
1,11,4,11,13,6,Truck Stop,11,12,Sub Zero,13,/teams/events/match_report/?EventGameId=gnKmCP%2fkz3Kwhmb382T5QvfjFyV37cjuiyEB3B%2b8%2fXk%3d
0,12,3,12,11,2,Sockeye,12,3,PoNY,9,/teams/events/match_report/?EventGameId=nqyMeDuIty6lLlFgbPWk4v8zoK3YLSLv71yiOFtvNIY%3d
1,11,0,11,12,3,PoNY,11,2,Sockeye,9,/teams/events/match_report/?EventGameId=nqyMeDuIty6lLlFgbPWk4v8zoK3YLSLv71yiOFtvNIY%3d
0,15,3,15,14,9,Chicago Machine,15,4,Ring of Fire,6,/teams/events/match_report/?EventGameId=ltZiGX%2f%2bACD6%2fBunlI5HAp0ScvrBM381kcrVndHrk3E%3d
1,14,5,14,15,4,Ring of Fire,14,9,Chicago Machine,7,/teams/events/match_report/?EventGameId=ltZiGX%2f%2bACD6%2fBunlI5HAp0ScvrBM381kcrVndHrk3E%3d
0,14,4,14,13,7,DiG,14,14,Pittsburgh Temper,13,/teams/events/match_report/?EventGameId=Nz1sq4S1vuzeS%2fUFqf4IIent6OwXm%2bsA5OAITL9M3SY%3d
1,13,2,13,14,14,Pittsburgh Temper,13,7,DiG,11,/teams/events/match_report/?EventGameId=Nz1sq4S1vuzeS%2fUFqf4IIent6OwXm%2bsA5OAITL9M3SY%3d
0,14,0,14,11,9,Chicago Machine,15,13,HIGH FIVE,9,/teams/events/match_report/?EventGameId=LKfvg%2fNwwdDZVjBzGxo9r2bygXy5dtoTGnbBZnkp8Us%3d
1,10,2,10,15,13,HIGH FIVE,11,9,Chicago Machine,11,/teams/events/match_report/?EventGameId=LKfvg%2fNwwdDZVjBzGxo9r2bygXy5dtoTGnbBZnkp8Us%3d
0,15,4,15,9,6,Truck Stop,15,3,PoNY,3,/teams/events/match_report/?EventGameId=NLCvsh4xspDU09d5T3E9D4G3xao8Eq1XjFqUbBJjtQE%3d
1,9,2,9,15,3,PoNY,9,6,Truck Stop,8,/teams/events/match_report/?EventGameId=NLCvsh4xspDU09d5T3E9D4G3xao8Eq1XjFqUbBJjtQE%3d
0,16,5,16,14,15,Johnny Bravo,15,11,Doublewide,7,/teams/events/match_report/?EventGameId=D25HyJDDtuVOlSnQ84wVjUbsQ3yVuyJQFJtDGoqjD4U%3d
1,14,5,14,15,11,Doublewide,14,15,Johnny Bravo,8,/teams/events/match_report/?EventGameId=D25HyJDDtuVOlSnQ84wVjUbsQ3yVuyJQFJtDGoqjD4U%3d
0,13,7,15,10,10,Rhino Slam,15,6,Truck Stop,14,/teams/events/match_report/?EventGameId=94L%2blHKrO0VPenUY1Ge864%2ftjIUDWxpV0j%2fpXH%2f2hKw%3d
1,10,5,10,15,6,Truck Stop,10,10,Rhino Slam,18,/teams/events/match_report/?EventGameId=94L%2blHKrO0VPenUY1Ge864%2ftjIUDWxpV0j%2fpXH%2f2hKw%3d
0,13,5,13,14,15,Johnny Bravo,13,10,Rhino Slam,12,/teams/events/match_report/?EventGameId=PVguZbMYc8KUhufLUxGRAaBeDytZlExqCHYJpcgQr%2fI%3d
1,13,7,13,13,10,Rhino Slam,14,15,Johnny Bravo,11,/teams/events/match_report/?EventGameId=PVguZbMYc8KUhufLUxGRAaBeDytZlExqCHYJpcgQr%2fI%3d
0,15,2,15,11,12,Sub Zero,15,1,Revolver,6,/teams/events/match_report/?EventGameId=Tp1KwTHfdAZ%2bc6PlesX51ct%2bUWvvEJMP53FvCR72EUc%3d
1,10,2,10,15,1,Revolver,11,12,Sub Zero,6,/teams/events/match_report/?EventGameId=Tp1KwTHfdAZ%2bc6PlesX51ct%2bUWvvEJMP53FvCR72EUc%3d
0,15,2,15,8,13,HIGH FIVE,15,9,Chicago Machine,0,/teams/events/match_report/?EventGameId=NaqxdlnZh2O%2fvWdfZOoJ7qqGeTjIeN5AXYNGb3XhQqE%3d
1,8,0,8,15,9,Chicago Machine,8,13,HIGH FIVE,8,/teams/events/match_report/?EventGameId=NaqxdlnZh2O%2fvWdfZOoJ7qqGeTjIeN5AXYNGb3XhQqE%3d
0,15,8,15,8,9,Chicago Machine,15,11,Doublewide,9,/teams/events/match_report/?EventGameId=OTlSjoyOwNIYuZwRsyjiE8gRiMHq8k8wQkZf8qsH%2bkc%3d
1,8,3,8,15,11,Doublewide,8,9,Chicago Machine,15,/teams/events/match_report/?EventGameId=OTlSjoyOwNIYuZwRsyjiE8gRiMHq8k8wQkZf8qsH%2bkc%3d
0,15,7,15,10,14,Pittsburgh Temper,15,7,DiG,13,/teams/events/match_report/?EventGameId=9rKZ%2bBExdQCyUoTt8XyMQH2D%2fmkJXqDpGc4j8OGe%2bbA%3d
1,10,5,10,15,7,DiG,10,14,Pittsburgh Temper,16,/teams/events/match_report/?EventGameId=9rKZ%2bBExdQCyUoTt8XyMQH2D%2fmkJXqDpGc4j8OGe%2bbA%3d
0,11,5,11,15,9,Chicago Machine,11,5,Furious George,11,/teams/events/match_report/?EventGameId=95Tavf2SKbDmCnnx23MJBzoIolOP%2bxyTq8G8zvIDPH0%3d
1,15,4,14,11,5,Furious George,15,9,Chicago Machine,5,/teams/events/match_report/?EventGameId=95Tavf2SKbDmCnnx23MJBzoIolOP%2bxyTq8G8zvIDPH0%3d
0,12,2,12,14,15,Johnny Bravo,12,3,PoNY,3,/teams/events/match_report/?EventGameId=3W3f2VBUc79zkPvyS%2fGZ%2f4IZJ7AJOK8h63HrGq01%2f%2b4%3d
1,14,5,14,12,3,PoNY,14,15,Johnny Bravo,6,/teams/events/match_report/?EventGameId=3W3f2VBUc79zkPvyS%2fGZ%2f4IZJ7AJOK8h63HrGq01%2f%2b4%3d
0,15,8,15,14,4,Ring of Fire,15,1,Revolver,12,/teams/events/match_report/?EventGameId=8rRlgQ9DnTN%2bI44VEWm9JQMbRWQqbZgDqraSOiUwcz4%3d
1,14,2,14,15,1,Revolver,14,4,Ring of Fire,15,/teams/events/match_report/?EventGameId=8rRlgQ9DnTN%2bI44VEWm9JQMbRWQqbZgDqraSOiUwcz4%3d
0,15,8,15,10,14,Pittsburgh Temper,15,15,Johnny Bravo,10,/teams/events/match_report/?EventGameId=EQg1JFQR29XKG8T8SyTFbwmph%2buMcSkHm158p94BIYE%3d
1,9,4,10,15,15,Johnny Bravo,10,14,Pittsburgh Temper,12,/teams/events/match_report/?EventGameId=EQg1JFQR29XKG8T8SyTFbwmph%2buMcSkHm158p94BIYE%3d
0,15,8,15,13,13,HIGH FIVE,15,12,Sub Zero,10,/teams/events/match_report/?EventGameId=OiAjvLnzgh0s%2fOQB%2fbuTqvxT56RJe%2fI1%2b6nYjJLGoaA%3d
