,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
21,14,7,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
22,14,8,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
23,15,8,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
0,0,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
1,1,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
2,2,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
3,3,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
4,4,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
5,5,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
6,6,0,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
7,6,1,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
8,7,1,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
9,7,2,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
10,8,2,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
11,8,3,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
12,8,4,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
13,9,4,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
14,9,5,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
15,10,5,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
16,10,6,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
17,11,6,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d,Drag'n Thrust,AMP,1,2,13,9
