,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Laura Moore,,,,0,0,1,1,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,LAURA MOORE
1,2,Corey Lee,,,,0,2,0,3,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,COREY LEE
2,4,Jacob Lohman,,,,1,0,1,2,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,JACOB LOHMAN
3,5,Danny Miesen,Dump,,"5'11""",6,9,4,3,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,DANNY MIESEN
4,7,Rachel Holz,,,,0,2,0,0,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,RACHEL HOLZ
5,8,Donnya Ajdari,,,"5'5""",3,1,0,0,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,DONNYA AJDARI
6,9,Adam Farren,Mid,,"6'0""",1,1,1,3,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,ADAM FARREN
7,10,Malina Wiebe,,,,13,1,2,6,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,MALINA WIEBE
8,11,Barrs Lang,,,,6,5,5,6,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,BARRS LANG
9,12,Trevor Harper,Handler/Cutter,,"5'11""",1,1,1,1,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,TREVOR HARPER
10,13,Sally Mimms,,,,1,2,1,1,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,SALLY MIMMS
11,15,Max Udsen,,,,2,1,1,0,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,MAX UDSEN
12,16,Vincenzo Vitiello,Handler,,"5'10""",7,6,6,6,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,VINCENZO VITIELLO
13,17,John Kolb,,,,4,6,0,2,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,JOHN KOLB
14,19,Ryo Kawaoka,,,,5,9,1,6,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,RYO KAWAOKA
15,20,Briana Cahn,,,,6,6,2,1,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,BRIANA CAHN
16,21,Steve Sullivan,,,,5,3,1,1,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,STEVE SULLIVAN
17,25,Julia Ting,,,,0,1,0,2,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,JULIA TING
18,30,Megan Schoellhamer,Cutter,,"5'6""",3,1,0,2,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,MEGAN SCHOELLHAMER
19,32,Vivian Chu,,,"5'4""",1,2,0,2,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,VIVIAN CHU
20,37,Molly Hallweaver,,,,0,0,3,5,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,MOLLY HALLWEAVER
21,40,Mac Taylor,,,,8,18,4,22,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,MAC TAYLOR
22,44,Kara Hammer,,,,4,1,1,6,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,KARA HAMMER
23,66,Raj Maitra,,,,1,0,0,0,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,RAJ MAITRA
24,99,Alexandra Stambaugh,,,,1,1,1,1,/events/teams/?EventTeamId=EOo2NhuX39H5R4MvHR0BT8oSz5vZuH4WIXxrRf96U68%3d,Blackbird,8,ALEXANDRA STAMBAUGH
0,1,Robert Roos,,,,6,11,4,4,/events/teams/?EventTeamId=%2fJrDwtDic4wYe9RvRmalPdQrf1L5SDJBqGhrOExS%2foM%3d,AMP,1,ROBERT ROOS
1,2,Matt Zumbrum,,,,0,1,2,5,/events/teams/?EventTeamId=%2fJrDwtDic4wYe9RvRmalPdQrf1L5SDJBqGhrOExS%2foM%3d,AMP,1,MATT ZUMBRUM
2,4,Raha Mozaffari,,,,1,3,1,5,/events/teams/?EventTeamId=%2fJrDwtDic4wYe9RvRmalPdQrf1L5SDJBqGhrOExS%2foM%3d,AMP,1,RAHA MOZAFFARI
3,5,Michael Panna,,,"5'9""",6,2,1,5,/events/teams/?EventTeamId=%2fJrDwtDic4wYe9RvRmalPdQrf1L5SDJBqGhrOExS%2foM%3d,AMP,1,MICHAEL PANNA
4,6,Kelsey Devlin,,,,0,3,0,1,/events/teams/?EventTeamId=%2fJrDwtDic4wYe9RvRmalPdQrf1L5SDJBqGhrOExS%2foM%3d,AMP,1,KELSEY DEVLIN
