,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,11,11,12,12,2,AMP,13,1,Seattle Mixtape,24,/teams/events/match_report/?EventGameId=Ok1Woh8YR%2fqk4UpNLaqDtjdV8AsG497MS59ZmUxJZ1k%3d
1,12,9,12,13,1,Seattle Mixtape,12,2,AMP,22,/teams/events/match_report/?EventGameId=Ok1Woh8YR%2fqk4UpNLaqDtjdV8AsG497MS59ZmUxJZ1k%3d
0,14,0,14,11,11,Toro,14,2,AMP,0,/teams/events/match_report/?EventGameId=xnBlAp%2bVXTm2NWBq3lbDSnJW1V5gtyizPIu42xqrB3Q%3d
1,11,0,11,14,2,AMP,11,11,Toro,0,/teams/events/match_report/?EventGameId=xnBlAp%2bVXTm2NWBq3lbDSnJW1V5gtyizPIu42xqrB3Q%3d
0,11,0,10,10,15,Love Tractor,11,3,Drag'n Thrust,0,/teams/events/match_report/?EventGameId=SQLf7XBqjMSXt1FSjzXTE4epxaLZIrIKjHHI6kwX83k%3d
1,9,0,10,11,3,Drag'n Thrust,10,15,Love Tractor,0,/teams/events/match_report/?EventGameId=SQLf7XBqjMSXt1FSjzXTE4epxaLZIrIKjHHI6kwX83k%3d
0,11,10,11,12,5,BFG,11,10,shame.,22,/teams/events/match_report/?EventGameId=LHrOcGak%2bDV7pf8DlWj%2bISg03M6bWqiRYozs3Hts0F0%3d
1,12,8,12,11,10,shame.,12,5,BFG,23,/teams/events/match_report/?EventGameId=LHrOcGak%2bDV7pf8DlWj%2bISg03M6bWqiRYozs3Hts0F0%3d
0,11,9,11,12,13,Public Enemy,13,1,Seattle Mixtape,14,/teams/events/match_report/?EventGameId=Wib655OaJpmRrJxmJ0EerH6kEd5oWXjQ6ZsDWB%2bbHAg%3d
1,12,8,12,13,1,Seattle Mixtape,12,13,Public Enemy,14,/teams/events/match_report/?EventGameId=Wib655OaJpmRrJxmJ0EerH6kEd5oWXjQ6ZsDWB%2bbHAg%3d
