,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,9,2,9,15,1,Sockeye,9,7,Sub Zero,12,/teams/events/match_report/?EventGameId=gTT4UCBYQsVZOjz1FqiMUDc8YHGdhxqzCnECDIRRxkM%3d
0,14,5,14,15,2,PoNY,14,16,Rhino Slam!,11,/teams/events/match_report/?EventGameId=VnUr6bOQ8h1VVYMsCXSSpnItjW4xObodrer5eUpftes%3d
1,15,6,15,14,16,Rhino Slam!,15,2,PoNY,10,/teams/events/match_report/?EventGameId=VnUr6bOQ8h1VVYMsCXSSpnItjW4xObodrer5eUpftes%3d
0,12,10,12,11,12,SoCal Condors,12,8,DiG,21,/teams/events/match_report/?EventGameId=hz1ewKk%2be%2fY6EUnVfUxmYeWi45pSkGsApJBZ3LbBGRo%3d
1,11,9,11,12,8,DiG,11,12,SoCal Condors,22,/teams/events/match_report/?EventGameId=hz1ewKk%2be%2fY6EUnVfUxmYeWi45pSkGsApJBZ3LbBGRo%3d
0,15,4,15,12,7,Sub Zero,15,5,Revolver,6,/teams/events/match_report/?EventGameId=iVTCo%2b87NGfSNRzI2qwIfFlDtmIpqgqCkI%2f1ULbpthU%3d
1,12,5,12,15,5,Revolver,12,7,Sub Zero,8,/teams/events/match_report/?EventGameId=iVTCo%2b87NGfSNRzI2qwIfFlDtmIpqgqCkI%2f1ULbpthU%3d
0,12,8,12,15,13,Furious George,13,11,Pittsburgh Temper,12,/teams/events/match_report/?EventGameId=8ByeEG5lQLV%2bxUTU7fP26b4ZzOPDuiuHwQhSrScw96s%3d
1,16,3,16,13,11,Pittsburgh Temper,15,13,Furious George,11,/teams/events/match_report/?EventGameId=8ByeEG5lQLV%2bxUTU7fP26b4ZzOPDuiuHwQhSrScw96s%3d
0,15,5,15,7,15,Chain Lightning,15,3,Truck Stop,7,/teams/events/match_report/?EventGameId=KVJSiVrwVHoBzT9K2CQkhlIjfUIBBKhFw6Vxm69wqT0%3d
1,7,4,7,15,3,Truck Stop,7,15,Chain Lightning,14,/teams/events/match_report/?EventGameId=KVJSiVrwVHoBzT9K2CQkhlIjfUIBBKhFw6Vxm69wqT0%3d
0,13,2,13,12,8,DiG,13,1,Sockeye,7,/teams/events/match_report/?EventGameId=p270dYDzcuB00TLKaPiVhrdJt8JbvPs7dmSCtOq%2fkqc%3d
1,12,3,12,13,1,Sockeye,12,8,DiG,9,/teams/events/match_report/?EventGameId=p270dYDzcuB00TLKaPiVhrdJt8JbvPs7dmSCtOq%2fkqc%3d
0,0,0,0,0,6,Chicago Machine,0,1,Sockeye,0,/teams/events/match_report/?EventGameId=psB8uMCjTu7QQKbaNUtW3Q4sNS1ZcztkMqh7ag1tP%2bo%3d
1,0,0,0,0,1,Sockeye,0,6,Chicago Machine,0,/teams/events/match_report/?EventGameId=psB8uMCjTu7QQKbaNUtW3Q4sNS1ZcztkMqh7ag1tP%2bo%3d
0,15,8,15,13,9,Doublewide,15,16,Rhino Slam!,9,/teams/events/match_report/?EventGameId=d38ZdsYcQ%2faBfTpXJ%2bBQJVY6pwAVROs%2bFuId3nQCYEk%3d
