,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
98,14,27,13,6,Valparaiso,14,Wesleyan,63,/teams/events/match_report/?EventGameId=GX0Bh2P87M9hR0XH9YcRFppPhDVmWTNTo3e9tXJlSfs%3d
99,6,14,6,14,Wesleyan,6,Valparaiso,67,/teams/events/match_report/?EventGameId=GX0Bh2P87M9hR0XH9YcRFppPhDVmWTNTo3e9tXJlSfs%3d
100,15,8,15,12,Puget Sound,15,Carleton College-Eclipse,26,/teams/events/match_report/?EventGameId=iWr3urXm0lJMCLpI%2fuwBorXV8xuDm3Y72mbvworQuVA%3d
101,12,12,11,15,Carleton College-Eclipse,12,Puget Sound,29,/teams/events/match_report/?EventGameId=iWr3urXm0lJMCLpI%2fuwBorXV8xuDm3Y72mbvworQuVA%3d
102,10,6,10,11,Wesleyan,10,Truman State,31,/teams/events/match_report/?EventGameId=zZfwetJ2be3J2a1YvnRYOzODdagq%2f%2fkZLgkyyIcV5gk%3d
103,11,9,9,10,Truman State,11,Wesleyan,28,/teams/events/match_report/?EventGameId=zZfwetJ2be3J2a1YvnRYOzODdagq%2f%2fkZLgkyyIcV5gk%3d
104,15,5,15,9,Portland,15,Valparaiso,18,/teams/events/match_report/?EventGameId=J34jzikHWQlhjrIwZtV65YhRE9B4%2bHKF9AyKWjoq86g%3d
105,9,8,9,15,Valparaiso,9,Portland,23,/teams/events/match_report/?EventGameId=J34jzikHWQlhjrIwZtV65YhRE9B4%2bHKF9AyKWjoq86g%3d
106,6,4,6,14,Carleton College-Eclipse,6,St Olaf,46,/teams/events/match_report/?EventGameId=WdeXHdYCDV3TMa0fY70%2fNy8otv9lQiSl1z3UeTey6Ac%3d
107,14,14,14,6,St Olaf,14,Carleton College-Eclipse,46,/teams/events/match_report/?EventGameId=WdeXHdYCDV3TMa0fY70%2fNy8otv9lQiSl1z3UeTey6Ac%3d
108,7,13,7,12,Puget Sound,7,Williams,33,/teams/events/match_report/?EventGameId=nYoNKsTYYUHeUXQmADT3Vr8ZYmi8dynR39Q32kusltg%3d
