,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,13,3,13,11,13,Love Tractor,13,1,Seattle Mixtape,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d
1,0,0,1,13,1,Seattle Mixtape,11,13,Love Tractor,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d
0,12,6,13,6,7,XIST,13,2,Blackbird,12,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d
1,2,4,5,13,2,Blackbird,6,7,XIST,15,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d
0,0,0,0,9,13,Love Tractor,13,1,Seattle Mixtape,0,/teams/events/match_report/?EventGameId=j78Vlvw6ygyQaJ4QjV9%2f8YCSmiufY1NqsI%2fAFwOeYUo%3d
1,0,0,0,13,1,Seattle Mixtape,9,13,Love Tractor,0,/teams/events/match_report/?EventGameId=j78Vlvw6ygyQaJ4QjV9%2f8YCSmiufY1NqsI%2fAFwOeYUo%3d
0,0,0,0,12,2,Blackbird,13,11,Columbus Cocktails,0,/teams/events/match_report/?EventGameId=4Db3YKm%2f20ad1yFcYCc%2fPS3TIF%2buoXUNxJsK4ni9akU%3d
1,0,0,0,13,11,Columbus Cocktails,12,2,Blackbird,0,/teams/events/match_report/?EventGameId=4Db3YKm%2f20ad1yFcYCc%2fPS3TIF%2buoXUNxJsK4ni9akU%3d
0,12,7,12,9,8,Jughandle,12,1,Seattle Mixtape,4,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d
1,1,1,0,12,1,Seattle Mixtape,9,8,Jughandle,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d
0,0,0,0,12,6,Mischief,13,5,shame.,0,/teams/events/match_report/?EventGameId=0QqBxFeV%2fj%2f5ifz6X5Feyo8G1Zk6IJVFi02hFHK6TPQ%3d
1,0,0,0,13,5,shame.,12,6,Mischief,0,/teams/events/match_report/?EventGameId=0QqBxFeV%2fj%2f5ifz6X5Feyo8G1Zk6IJVFi02hFHK6TPQ%3d
0,12,2,13,9,14,Birdfruit,13,2,Blackbird,6,/teams/events/match_report/?EventGameId=hU5E%2fsvJqs01HzpJhYvBT46HiSEeXvkAGfvUWDdKY1s%3d
1,9,2,9,13,2,Blackbird,9,14,Birdfruit,10,/teams/events/match_report/?EventGameId=hU5E%2fsvJqs01HzpJhYvBT46HiSEeXvkAGfvUWDdKY1s%3d
0,8,2,7,13,10,No Touching!,14,6,Mischief,6,/teams/events/match_report/?EventGameId=s5NNGv6uPcXLUP8FAr5IZgdSiApw5xRJswG8HquuCNI%3d
1,9,3,8,14,6,Mischief,13,10,No Touching!,6,/teams/events/match_report/?EventGameId=s5NNGv6uPcXLUP8FAr5IZgdSiApw5xRJswG8HquuCNI%3d
