,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,14,13,14,9,9,Nemesis,14,5,Scandal,25,/teams/events/match_report/?EventGameId=vggkK7b%2fHC9IrMo2hef6LMkXIDfjtWAaD7R4OIHp%2fZU%3d
1,9,10,9,14,5,Scandal,9,9,Nemesis,29,/teams/events/match_report/?EventGameId=vggkK7b%2fHC9IrMo2hef6LMkXIDfjtWAaD7R4OIHp%2fZU%3d
0,15,14,15,9,15,Pop,15,10,Rival,25,/teams/events/match_report/?EventGameId=oDIlbPS7b5JfZ%2beYjnlcC9WEDuJj5F%2fJ3mw7r8Ungtw%3d
1,9,10,9,15,10,Rival,9,15,Pop,31,/teams/events/match_report/?EventGameId=oDIlbPS7b5JfZ%2beYjnlcC9WEDuJj5F%2fJ3mw7r8Ungtw%3d
0,15,6,15,4,16,Wildfire,15,4,Molly Brown,11,/teams/events/match_report/?EventGameId=ZaCRmlPVAvuBCekI5%2b0a5mk3QhHfSXMc880cL4BSoDQ%3d
1,4,5,4,15,4,Molly Brown,4,16,Wildfire,21,/teams/events/match_report/?EventGameId=ZaCRmlPVAvuBCekI5%2b0a5mk3QhHfSXMc880cL4BSoDQ%3d
0,15,7,15,13,9,Nemesis,15,13,Schwa,20,/teams/events/match_report/?EventGameId=sUM1xsllx9L2whi0%2bMGQVUpWqLqO0CH40ia7xfFytfs%3d
1,13,5,13,15,13,Schwa,13,9,Nemesis,20,/teams/events/match_report/?EventGameId=sUM1xsllx9L2whi0%2bMGQVUpWqLqO0CH40ia7xfFytfs%3d
0,15,5,15,13,5,Scandal,15,4,Molly Brown,12,/teams/events/match_report/?EventGameId=ZFP12BnTGe955VSTcNSdwA1XJXorMj4ASiugCkeFXqk%3d
1,13,5,13,15,4,Molly Brown,13,5,Scandal,14,/teams/events/match_report/?EventGameId=ZFP12BnTGe955VSTcNSdwA1XJXorMj4ASiugCkeFXqk%3d
0,15,14,15,2,12,Heist,15,1,Brute Squad,8,/teams/events/match_report/?EventGameId=aQFVPQTOh1vRfj%2fhedIhFrrfQJx9hb8SPHfNWHVU5bc%3d
1,2,3,2,15,1,Brute Squad,2,12,Heist,19,/teams/events/match_report/?EventGameId=aQFVPQTOh1vRfj%2fhedIhFrrfQJx9hb8SPHfNWHVU5bc%3d
0,15,6,15,13,11,Phoenix,15,10,Rival,13,/teams/events/match_report/?EventGameId=ANy0b3QKUzsZqgwJTdy%2bDjqsCjqcOXspZI8SJh8va%2bE%3d
1,13,4,13,15,10,Rival,13,11,Phoenix,10,/teams/events/match_report/?EventGameId=ANy0b3QKUzsZqgwJTdy%2bDjqsCjqcOXspZI8SJh8va%2bE%3d
0,15,8,15,8,10,Rival,15,6,Ozone,14,/teams/events/match_report/?EventGameId=aFBdL9pU632zVUICvxTJ9tBub%2bH2wee44TGaS4nSNlg%3d
