,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,7,0,7,15,6,Molly Brown,8,9,Rival,0,/teams/events/match_report/?EventGameId=vDFrtSVc1lEr7ae08ARhmsCJZ4wPfIRNbayiUb5pqbk%3d
0,0,0,0,4,10,Nightlock,15,4,Fury,0,/teams/events/match_report/?EventGameId=cmAdQ1oL5mryNF82gEeaky9P%2beHOc2PHD1MOXwhzKaY%3d
1,0,0,0,15,4,Fury,4,10,Nightlock,0,/teams/events/match_report/?EventGameId=cmAdQ1oL5mryNF82gEeaky9P%2beHOc2PHD1MOXwhzKaY%3d
0,9,4,11,13,6,Molly Brown,12,3,Scandal,12,/teams/events/match_report/?EventGameId=co2Rwtf0bM0R4l8ispKrbevIG5mAv0mJEU0iibWQvZk%3d
1,0,0,0,12,3,Scandal,13,6,Molly Brown,0,/teams/events/match_report/?EventGameId=co2Rwtf0bM0R4l8ispKrbevIG5mAv0mJEU0iibWQvZk%3d
0,5,1,10,14,3,Scandal,15,1,Seattle Riot,9,/teams/events/match_report/?EventGameId=7CixcxX2X1IGOi5RqJ10b4ziIC3I8RurxIarISCjD%2bw%3d
1,14,6,14,15,1,Seattle Riot,14,3,Scandal,16,/teams/events/match_report/?EventGameId=7CixcxX2X1IGOi5RqJ10b4ziIC3I8RurxIarISCjD%2bw%3d
0,0,0,0,12,5,6ixers,9,2,Brute Squad,0,/teams/events/match_report/?EventGameId=MPc484tOPml%2f5RiOPic8gbVxhWZbpC6DSoHPQ%2bRbKWs%3d
1,0,0,0,9,2,Brute Squad,12,5,6ixers,0,/teams/events/match_report/?EventGameId=MPc484tOPml%2f5RiOPic8gbVxhWZbpC6DSoHPQ%2bRbKWs%3d
0,0,0,0,11,5,6ixers,12,6,Molly Brown,0,/teams/events/match_report/?EventGameId=SYXN%2bEHXpZFR1VuRJaXCy363ElcYJDLO9rMw1fBdNIs%3d
