,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,14,5,14,4,11,MAKAWUA,15,1,Sockeye,2,/teams/events/match_report/?EventGameId=WeByYxUOn36PB8mlxdOap5ubj2I3Z1YOqBA%2fJyN%2btbM%3d
1,3,0,4,15,1,Sockeye,4,11,MAKAWUA,6,/teams/events/match_report/?EventGameId=WeByYxUOn36PB8mlxdOap5ubj2I3Z1YOqBA%2fJyN%2btbM%3d
0,14,3,14,10,2,Truck Stop,14,4,PoNY,4,/teams/events/match_report/?EventGameId=eJdc1m6E48X0tZOn5lSSx46rV2joJc2Sp5s%2bg8%2bpSNg%3d
1,10,2,10,14,4,PoNY,10,2,Truck Stop,7,/teams/events/match_report/?EventGameId=eJdc1m6E48X0tZOn5lSSx46rV2joJc2Sp5s%2bg8%2bpSNg%3d
0,12,2,12,15,9,Sub Zero,12,6,Bunka Shutter Buzz Bullets,6,/teams/events/match_report/?EventGameId=ZzMSYjrUzcZLjX%2f%2b8RH53A%2ffxwV8%2bt7DP0jwx1cTm5Q%3d
1,15,4,15,12,6,Bunka Shutter Buzz Bullets,15,9,Sub Zero,4,/teams/events/match_report/?EventGameId=ZzMSYjrUzcZLjX%2f%2b8RH53A%2ffxwV8%2bt7DP0jwx1cTm5Q%3d
0,12,4,12,15,9,Sub Zero,13,6,Bunka Shutter Buzz Bullets,4,/teams/events/match_report/?EventGameId=Ik6gy3NQGi4TQL5dNZu2XqwmCVPxUbh8PDHCLhv9gzQ%3d
1,15,5,14,13,6,Bunka Shutter Buzz Bullets,15,9,Sub Zero,5,/teams/events/match_report/?EventGameId=Ik6gy3NQGi4TQL5dNZu2XqwmCVPxUbh8PDHCLhv9gzQ%3d
0,12,6,11,15,6,Bunka Shutter Buzz Bullets,11,3,Revolver,11,/teams/events/match_report/?EventGameId=ccjh0MjAkrgTfNxBIT9xzs76dWKKUJO4zfr%2fNyLfZTc%3d
1,15,6,15,11,3,Revolver,15,6,Bunka Shutter Buzz Bullets,9,/teams/events/match_report/?EventGameId=ccjh0MjAkrgTfNxBIT9xzs76dWKKUJO4zfr%2fNyLfZTc%3d
0,15,5,15,7,5,Ring of Fire,15,2,Truck Stop,3,/teams/events/match_report/?EventGameId=ChRUQwnJnG1QJKwQ0mhMhmjfxSpeFJP%2f7yZTRlO5UsY%3d
1,7,1,7,15,2,Truck Stop,7,5,Ring of Fire,9,/teams/events/match_report/?EventGameId=ChRUQwnJnG1QJKwQ0mhMhmjfxSpeFJP%2f7yZTRlO5UsY%3d
0,15,3,15,11,3,Revolver,15,5,Ring of Fire,5,/teams/events/match_report/?EventGameId=%2fkQ2%2biv8C9DNvHSQ%2bLX%2bE79RKXG0Wb0kHJZGAqeKV5A%3d
1,11,3,9,15,5,Ring of Fire,11,3,Revolver,8,/teams/events/match_report/?EventGameId=%2fkQ2%2biv8C9DNvHSQ%2bLX%2bE79RKXG0Wb0kHJZGAqeKV5A%3d
0,15,4,15,10,11,MAKAWUA,15,8,Chicago Machine,5,/teams/events/match_report/?EventGameId=6HerQ8meJh%2b7z6LdJ32RUqA4X39mEgi4aTR%2bB7nIWGs%3d
1,9,1,7,15,8,Chicago Machine,10,11,MAKAWUA,9,/teams/events/match_report/?EventGameId=6HerQ8meJh%2b7z6LdJ32RUqA4X39mEgi4aTR%2bB7nIWGs%3d
0,14,2,14,16,9,Sub Zero,14,8,Chicago Machine,6,/teams/events/match_report/?EventGameId=eVKpDWJL64p7XHW0kMM%2fJHcyemTJZ%2fxzwbsc5vFilCw%3d
1,16,0,16,14,8,Chicago Machine,16,9,Sub Zero,2,/teams/events/match_report/?EventGameId=eVKpDWJL64p7XHW0kMM%2fJHcyemTJZ%2fxzwbsc5vFilCw%3d
0,14,1,14,11,5,Ring of Fire,14,1,Sockeye,9,/teams/events/match_report/?EventGameId=I1JfDJLx3GWnjQSyjh2jacX728nUvorrkFPRnb0gmSU%3d
1,11,0,11,14,1,Sockeye,11,5,Ring of Fire,11,/teams/events/match_report/?EventGameId=I1JfDJLx3GWnjQSyjh2jacX728nUvorrkFPRnb0gmSU%3d
0,4,1,3,15,8,Chicago Machine,5,10,Comunidad El Oso,8,/teams/events/match_report/?EventGameId=yRaN%2bzcMQyEilRYiz%2bgcwdLZSaRvnaeFBlJmfGubuTQ%3d
1,14,8,13,5,10,Comunidad El Oso,15,8,Chicago Machine,4,/teams/events/match_report/?EventGameId=yRaN%2bzcMQyEilRYiz%2bgcwdLZSaRvnaeFBlJmfGubuTQ%3d
0,15,6,15,7,10,Comunidad El Oso,15,5,Ring of Fire,5,/teams/events/match_report/?EventGameId=zGY40N0Qj8IY4QJmGAKIHw3HwCrp9RGQFMe7APc%2bab0%3d
1,7,2,7,15,5,Ring of Fire,7,10,Comunidad El Oso,11,/teams/events/match_report/?EventGameId=zGY40N0Qj8IY4QJmGAKIHw3HwCrp9RGQFMe7APc%2bab0%3d
0,5,0,5,15,12,Freaks,7,11,MAKAWUA,9,/teams/events/match_report/?EventGameId=BEbegwxdZDdULaLpwB1Ql9WQfXpbVkgBnA%2bu6nSV0IM%3d
1,15,7,13,7,11,MAKAWUA,15,12,Freaks,4,/teams/events/match_report/?EventGameId=BEbegwxdZDdULaLpwB1Ql9WQfXpbVkgBnA%2bu6nSV0IM%3d
