,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,2,Kahyee Fong,KAHYEE FONG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
1,3,Cam Bailey,CAM BAILEY,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
2,4,Zhi Chen,ZHI CHEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
3,8,Meagan Kapostasy,MEAGAN KAPOSTASY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
4,10,Lexi Garrity,LEXI GARRITY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
5,11,Bert Abbott,BERT ABBOTT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
6,12,Brad Houser,BRAD HOUSER,1,1,3,3,1,1,1,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
7,14,Reed Hendrickson,REED HENDRICKSON,2,2,0,0,0,1,1,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
8,16,Mark Burton,MARK BURTON,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
9,17,Ellen Goldberg,ELLEN GOLDBERG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
10,18,Casey Ikeda,CASEY IKEDA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
11,19,Cole Johnson,COLE JOHNSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=WVufE2K946Z5ujP5Si6T6Wc9NWnrN8tBZlYH0hjoTXU%3d,Seattle Mixtape,3,13,Snake Country,5,12
