,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,14,11,15,9,12,Storm,15,6,Drag'n Thrust,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d
1,7,7,7,15,6,Drag'n Thrust,9,12,Storm,22,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d
0,7,6,10,11,3,BFG,10,1,Seattle Mixtape,12,/teams/events/match_report/?EventGameId=nGDG0RQL5drdGkB8LiRoJFl5GCMug%2fl8iB%2bEhsnpujA%3d
1,11,4,11,10,1,Seattle Mixtape,11,3,BFG,17,/teams/events/match_report/?EventGameId=nGDG0RQL5drdGkB8LiRoJFl5GCMug%2fl8iB%2bEhsnpujA%3d
0,13,12,13,9,8,Germany Mixed,13,3,BFG,17,/teams/events/match_report/?EventGameId=x18UlXuSZUuHDPg2bzvnEynPuXvCD6J2eZlcSaYqpBQ%3d
1,9,9,9,13,3,BFG,9,8,Germany Mixed,18,/teams/events/match_report/?EventGameId=x18UlXuSZUuHDPg2bzvnEynPuXvCD6J2eZlcSaYqpBQ%3d
0,0,0,0,15,2,AMP,13,3,BFG,0,/teams/events/match_report/?EventGameId=F17i0dZGdWj12%2bGRtagRaDx830VZoWt6abODMv87Jz0%3d
1,0,0,0,13,3,BFG,15,2,AMP,0,/teams/events/match_report/?EventGameId=F17i0dZGdWj12%2bGRtagRaDx830VZoWt6abODMv87Jz0%3d
0,15,0,15,9,5,Love Tractor,15,2,AMP,0,/teams/events/match_report/?EventGameId=MJT1etsigcluNzwP0FLRfl0gKuCflxpF4nWksTCncfM%3d
1,9,0,9,15,2,AMP,9,5,Love Tractor,0,/teams/events/match_report/?EventGameId=MJT1etsigcluNzwP0FLRfl0gKuCflxpF4nWksTCncfM%3d
0,10,5,10,11,9,Public Enemy,10,1,Seattle Mixtape,18,/teams/events/match_report/?EventGameId=1LfwcV7b7ualPcphaKon5zhM7r37lpSJIzsYe%2f9%2fjoE%3d
1,11,7,11,10,1,Seattle Mixtape,11,9,Public Enemy,17,/teams/events/match_report/?EventGameId=1LfwcV7b7ualPcphaKon5zhM7r37lpSJIzsYe%2f9%2fjoE%3d
0,15,11,15,6,8,Germany Mixed,15,6,Drag'n Thrust,15,/teams/events/match_report/?EventGameId=W904TIegrcmMWVwRS7UhPwZ%2bXOg6psihf6XaTIftPHM%3d
1,6,3,6,15,6,Drag'n Thrust,6,8,Germany Mixed,22,/teams/events/match_report/?EventGameId=W904TIegrcmMWVwRS7UhPwZ%2bXOg6psihf6XaTIftPHM%3d
0,13,7,14,3,11,FIRE ULTIMATE CLUB,14,9,Public Enemy,15,/teams/events/match_report/?EventGameId=Jaie7Iy9uo2yBWwOtG%2f84%2b%2bI%2buXXCC9dLFr7qK2iouQ%3d
1,3,3,3,14,9,Public Enemy,3,11,FIRE ULTIMATE CLUB,8,/teams/events/match_report/?EventGameId=Jaie7Iy9uo2yBWwOtG%2f84%2b%2bI%2buXXCC9dLFr7qK2iouQ%3d
0,14,6,14,4,4,Slow White,14,2,AMP,25,/teams/events/match_report/?EventGameId=C%2bauJQSoVGwqtOVmIia9s6REP41qObSpxIyUkCbYlTo%3d
1,4,4,4,14,2,AMP,4,4,Slow White,29,/teams/events/match_report/?EventGameId=C%2bauJQSoVGwqtOVmIia9s6REP41qObSpxIyUkCbYlTo%3d
0,15,9,15,11,10,Steamboat,15,2,AMP,13,/teams/events/match_report/?EventGameId=rwlwllp3hrexIkGJfrH2XN56W0a5lfGmtvu8ok6pbJI%3d
1,11,6,11,15,2,AMP,11,10,Steamboat,16,/teams/events/match_report/?EventGameId=rwlwllp3hrexIkGJfrH2XN56W0a5lfGmtvu8ok6pbJI%3d
0,16,7,16,13,9,Public Enemy,15,8,Germany Mixed,16,/teams/events/match_report/?EventGameId=k%2bC6FaBwY0CghMAkA9sd%2bSlEomQCtC3NXNUynqW1D1U%3d
1,13,6,13,15,8,Germany Mixed,13,9,Public Enemy,19,/teams/events/match_report/?EventGameId=k%2bC6FaBwY0CghMAkA9sd%2bSlEomQCtC3NXNUynqW1D1U%3d
0,12,8,11,8,9,Public Enemy,12,6,Drag'n Thrust,16,/teams/events/match_report/?EventGameId=NTIjljg5aKrGTM1tYOxi0rDMEwl3TiJm%2fwl%2fOGlF9Z0%3d
1,8,3,8,12,6,Drag'n Thrust,8,9,Public Enemy,17,/teams/events/match_report/?EventGameId=NTIjljg5aKrGTM1tYOxi0rDMEwl3TiJm%2fwl%2fOGlF9Z0%3d
0,14,10,15,9,11,FIRE ULTIMATE CLUB,15,10,Steamboat,20,/teams/events/match_report/?EventGameId=LpltOnRRzNaE1swsL2VGi6x2DOEIYxx4jLOuOVohjwk%3d
1,5,7,6,15,10,Steamboat,9,11,FIRE ULTIMATE CLUB,24,/teams/events/match_report/?EventGameId=LpltOnRRzNaE1swsL2VGi6x2DOEIYxx4jLOuOVohjwk%3d
0,11,8,10,8,5,Love Tractor,11,1,Seattle Mixtape,23,/teams/events/match_report/?EventGameId=8XJRqieZ5ZcZXY%2fQ2lXO5RbHmHNlvUMPAFXg%2bsoClpg%3d
