,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,0,0,0,8,2,Ring of Fire,15,4,DiG,0,/teams/events/match_report/?EventGameId=09NAd%2fdzuE2FxIURNBDBShaVkLa7p1u7zbbkHwV0YDk%3d
0,13,2,12,15,9,Truck Stop,13,7,HIGH FIVE,8,/teams/events/match_report/?EventGameId=vsHeE2gEWa367nMy3BZk2OCyR5BG7Tn0rIbR4ipRbKc%3d
1,12,4,14,13,7,HIGH FIVE,15,9,Truck Stop,4,/teams/events/match_report/?EventGameId=vsHeE2gEWa367nMy3BZk2OCyR5BG7Tn0rIbR4ipRbKc%3d
0,11,5,12,8,5,Johnny Bravo,15,9,Truck Stop,3,/teams/events/match_report/?EventGameId=NAdobXK%2bWzk%2fXG8%2bO4HQIqOPf372DXTNsmneLOi%2fUUU%3d
1,8,2,8,15,9,Truck Stop,8,5,Johnny Bravo,8,/teams/events/match_report/?EventGameId=NAdobXK%2bWzk%2fXG8%2bO4HQIqOPf372DXTNsmneLOi%2fUUU%3d
0,8,1,8,15,7,HIGH FIVE,8,6,Sub Zero,6,/teams/events/match_report/?EventGameId=PPIeNAXP9dni%2bpEV6yFLooSnacUKMXBDOI3Im5rdmxs%3d
1,15,1,15,8,6,Sub Zero,15,7,HIGH FIVE,2,/teams/events/match_report/?EventGameId=PPIeNAXP9dni%2bpEV6yFLooSnacUKMXBDOI3Im5rdmxs%3d
0,11,1,10,14,3,Chicago Machine,11,10,Patrol,11,/teams/events/match_report/?EventGameId=E%2bmsWkcrPKF6vFAY3Y1l38Tfipc7Rr2j18VDgZPpQZ8%3d
1,11,4,14,11,10,Patrol,14,3,Chicago Machine,9,/teams/events/match_report/?EventGameId=E%2bmsWkcrPKF6vFAY3Y1l38Tfipc7Rr2j18VDgZPpQZ8%3d
0,3,2,5,11,10,Patrol,15,2,Ring of Fire,2,/teams/events/match_report/?EventGameId=1J%2fEBwyOKrCbscMFHMWnN9%2fi9JwiLaRk0icVPYKvHiM%3d
1,11,1,11,15,2,Ring of Fire,11,10,Patrol,10,/teams/events/match_report/?EventGameId=1J%2fEBwyOKrCbscMFHMWnN9%2fi9JwiLaRk0icVPYKvHiM%3d
0,10,3,10,13,5,Johnny Bravo,11,3,Chicago Machine,5,/teams/events/match_report/?EventGameId=uNh0kCv6Z1fGBgSiauTm8FforFCf8nCLWLHrGGjmCkM%3d
1,13,1,13,11,3,Chicago Machine,13,5,Johnny Bravo,4,/teams/events/match_report/?EventGameId=uNh0kCv6Z1fGBgSiauTm8FforFCf8nCLWLHrGGjmCkM%3d
0,12,6,15,11,10,Patrol,15,3,Chicago Machine,8,/teams/events/match_report/?EventGameId=ZRWLAUKx5%2fsvjQbaJPlSmyPAq6Xl6emzOKg5JWGjca4%3d
1,10,4,10,15,3,Chicago Machine,11,10,Patrol,12,/teams/events/match_report/?EventGameId=ZRWLAUKx5%2fsvjQbaJPlSmyPAq6Xl6emzOKg5JWGjca4%3d
0,13,2,10,11,6,Sub Zero,15,1,Revolver,2,/teams/events/match_report/?EventGameId=RnKBzqyy49JIbqenWWIpiSwex0GcHWNh6uxIBaHCilY%3d
1,11,1,9,15,1,Revolver,11,6,Sub Zero,4,/teams/events/match_report/?EventGameId=RnKBzqyy49JIbqenWWIpiSwex0GcHWNh6uxIBaHCilY%3d
0,14,3,10,15,4,DiG,16,1,Revolver,6,/teams/events/match_report/?EventGameId=ouo8T1tqQFZFjF0lyJLrOeoqT%2fajBk61crwIxnJgnSw%3d
1,0,0,0,16,1,Revolver,15,4,DiG,0,/teams/events/match_report/?EventGameId=ouo8T1tqQFZFjF0lyJLrOeoqT%2fajBk61crwIxnJgnSw%3d
