,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
13,7,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
14,8,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
15,9,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
16,10,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
17,11,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
18,11,7,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
19,12,7,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
20,12,8,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
21,13,8,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
0,0,0,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
1,1,0,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
2,1,1,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
3,2,1,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
4,3,1,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
5,3,2,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
6,4,2,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
