,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
1,10,11,10,15,3,North Carolina,10,18,Michigan,23,/teams/events/match_report/?EventGameId=TyURPVadtWz4yjZtB8jZiZLjqWKpzblzJWkm0L9uPus%3d
0,15,9,15,10,8,Tufts,15,5,Oregon,15,/teams/events/match_report/?EventGameId=F4TtMBh%2fViKWiD5fToABk8JwXnE4fza0N%2fMs2aI8B9U%3d
1,10,7,10,15,5,Oregon,10,8,Tufts,20,/teams/events/match_report/?EventGameId=F4TtMBh%2fViKWiD5fToABk8JwXnE4fza0N%2fMs2aI8B9U%3d
0,8,10,8,15,11,Carleton College,8,15,Whitman,18,/teams/events/match_report/?EventGameId=QgE3SJ1Wf3d52QgXcM%2fAb2CvyWQVEK%2f9fbFXlFYEXUE%3d
1,15,8,15,8,15,Whitman,15,11,Carleton College,15,/teams/events/match_report/?EventGameId=QgE3SJ1Wf3d52QgXcM%2fAb2CvyWQVEK%2f9fbFXlFYEXUE%3d
0,15,16,15,12,13,West Chester,15,12,Colorado,35,/teams/events/match_report/?EventGameId=MALxuOJewvpHsCkt9E3WWPGSzXN9fAoymsMDgg7UrDk%3d
1,12,8,12,15,12,Colorado,12,13,West Chester,37,/teams/events/match_report/?EventGameId=MALxuOJewvpHsCkt9E3WWPGSzXN9fAoymsMDgg7UrDk%3d
0,10,15,10,8,15,Whitman,10,10,Pittsburgh,50,/teams/events/match_report/?EventGameId=piOM2LeF3BvfOSxEaPAd5hvaHNYlCLXc4oKlvJdOkGM%3d
1,8,13,8,10,10,Pittsburgh,8,15,Whitman,51,/teams/events/match_report/?EventGameId=piOM2LeF3BvfOSxEaPAd5hvaHNYlCLXc4oKlvJdOkGM%3d
0,15,14,15,3,20,Cornell,15,4,Stanford,25,/teams/events/match_report/?EventGameId=lkNh8xQAh5naF65lcgtURlYl%2ftTivcUhghHKFP9ZXNY%3d
1,3,7,3,15,4,Stanford,3,20,Cornell,34,/teams/events/match_report/?EventGameId=lkNh8xQAh5naF65lcgtURlYl%2ftTivcUhghHKFP9ZXNY%3d
0,15,10,15,9,16,North Carolina State,15,12,Colorado,23,/teams/events/match_report/?EventGameId=vK5CTRz14pNhZNhRXs65%2fyxXnSAVgdspFLjbRhQxjBc%3d
1,9,6,9,15,12,Colorado,9,16,North Carolina State,28,/teams/events/match_report/?EventGameId=vK5CTRz14pNhZNhRXs65%2fyxXnSAVgdspFLjbRhQxjBc%3d
0,12,9,12,13,12,Colorado,12,10,Pittsburgh,26,/teams/events/match_report/?EventGameId=Abi75tffuw7qJDhLc2qHZwNOn6VBhXWsjBxTam2TLcI%3d
1,13,18,13,12,10,Pittsburgh,13,12,Colorado,24,/teams/events/match_report/?EventGameId=Abi75tffuw7qJDhLc2qHZwNOn6VBhXWsjBxTam2TLcI%3d
0,15,11,15,9,12,Colorado,15,1,Dartmouth,18,/teams/events/match_report/?EventGameId=HSQNbEEOKLHCcCIjcUT51fFsF%2fI6sowL3hYX%2blV%2fN30%3d
1,9,6,9,15,1,Dartmouth,9,12,Colorado,23,/teams/events/match_report/?EventGameId=HSQNbEEOKLHCcCIjcUT51fFsF%2fI6sowL3hYX%2blV%2fN30%3d
0,15,14,13,4,8,Tufts,15,1,Dartmouth,22,/teams/events/match_report/?EventGameId=ux1I1hoQCL7m278KwcE3pgSEQleHjKP0qoWkESePfmo%3d
1,4,6,4,15,1,Dartmouth,4,8,Tufts,33,/teams/events/match_report/?EventGameId=ux1I1hoQCL7m278KwcE3pgSEQleHjKP0qoWkESePfmo%3d
0,15,5,15,8,16,North Carolina State,15,4,Stanford,9,/teams/events/match_report/?EventGameId=W4Txv6dDdYZWdVonhYU9fOv31JtSCVwk%2bi3MPlEf9rE%3d
1,8,6,8,15,4,Stanford,8,16,North Carolina State,15,/teams/events/match_report/?EventGameId=W4Txv6dDdYZWdVonhYU9fOv31JtSCVwk%2bi3MPlEf9rE%3d
0,14,14,15,6,6,British Columbia,15,3,North Carolina,26,/teams/events/match_report/?EventGameId=nqQloAl4WSyBkSU%2ffxuL68SIdbBLqdkzUWaQGn8cSn8%3d
1,5,11,6,15,3,North Carolina,6,6,British Columbia,36,/teams/events/match_report/?EventGameId=nqQloAl4WSyBkSU%2ffxuL68SIdbBLqdkzUWaQGn8cSn8%3d
0,13,24,13,6,19,Florida,13,10,Pittsburgh,48,/teams/events/match_report/?EventGameId=rweknZdOegqpreLKqotrR5uago7HCgwZDd3j%2fpf%2bwQU%3d
1,6,16,6,13,10,Pittsburgh,6,19,Florida,57,/teams/events/match_report/?EventGameId=rweknZdOegqpreLKqotrR5uago7HCgwZDd3j%2fpf%2bwQU%3d
