,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,15,9,12,10,Heist,15,Brute Squad,16,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d
1,10,4,10,15,Brute Squad,10,Heist,22,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d
2,13,9,13,9,Capitals,13,Nightlock,22,/teams/events/match_report/?EventGameId=Uns1cO5doizrvpE6IFgX5HOfr3MhWAUcalPjEeTBM7U%3d
3,9,9,9,13,Nightlock,9,Capitals,29,/teams/events/match_report/?EventGameId=Uns1cO5doizrvpE6IFgX5HOfr3MhWAUcalPjEeTBM7U%3d
4,14,4,13,7,Capitals,15,Brute Squad,7,/teams/events/match_report/?EventGameId=0ZC3H6SdxlpEwQPf%2frtX5lmyR0I%2bCry2MVCKzMGNUSU%3d
5,6,3,6,15,Brute Squad,7,Capitals,10,/teams/events/match_report/?EventGameId=0ZC3H6SdxlpEwQPf%2frtX5lmyR0I%2bCry2MVCKzMGNUSU%3d
6,15,8,15,7,Heist,15,Nightlock,8,/teams/events/match_report/?EventGameId=F2Y%2bML8FmBxq%2fyzH%2bO6FC9pgLQSkGga12G0psjevEr4%3d
7,7,4,7,15,Nightlock,7,Heist,14,/teams/events/match_report/?EventGameId=F2Y%2bML8FmBxq%2fyzH%2bO6FC9pgLQSkGga12G0psjevEr4%3d
8,15,7,15,7,Nightlock,15,Brute Squad,12,/teams/events/match_report/?EventGameId=QnMZA72zx2xlsj8MgNLwH13vCf2m8f8aceQjuhk0PYA%3d
9,5,3,5,15,Brute Squad,7,Nightlock,9,/teams/events/match_report/?EventGameId=QnMZA72zx2xlsj8MgNLwH13vCf2m8f8aceQjuhk0PYA%3d
10,13,8,13,11,Capitals,13,Heist,26,/teams/events/match_report/?EventGameId=62uz6lYqzMQy%2bx7HDUj00WEVUsn4bB4JcSvk5bNE%2f%2fY%3d
11,11,13,11,13,Heist,11,Capitals,28,/teams/events/match_report/?EventGameId=62uz6lYqzMQy%2bx7HDUj00WEVUsn4bB4JcSvk5bNE%2f%2fY%3d
12,15,4,15,7,BENT,15,Fury,20,/teams/events/match_report/?EventGameId=saXK%2bK3Ny6AxaYvSvF0dTVew9HlpIX%2fugiB6ospnMlk%3d
13,7,8,7,15,Fury,7,BENT,27,/teams/events/match_report/?EventGameId=saXK%2bK3Ny6AxaYvSvF0dTVew9HlpIX%2fugiB6ospnMlk%3d
14,13,12,14,11,Showdown,14,Ozone,28,/teams/events/match_report/?EventGameId=pwMYDI77hYMGJkT6vDnCmixMtmbhglQmTXunuK5byVU%3d
15,9,6,8,14,Ozone,11,Showdown,25,/teams/events/match_report/?EventGameId=pwMYDI77hYMGJkT6vDnCmixMtmbhglQmTXunuK5byVU%3d
